collection,series,piece,item,Covering_date,Type,Former Reference,Attendees,Agenda
CAB,23,1,11,19-Dec-16,Conclusion,WC 11 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . W Robertson.,1. Man-Power and Compulsory National Service; 2. Prime Minister's Message to Self-Governing Dominions; 3. The Arab Revolt - Rabegh
CAB,23,1,12,20-Dec-16,Conclusion,WC 12 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . Hardinge . W Robertson . J Jellicoe.,1. The Arab Revolt Rabegh; 2. Prime Minister's Message to Self-Governing Dominions; 3. Imperial Conference; 4. The Balkans; 5. Information for the Cabinet; 6. Greece; 7. Guns for Merchant Ships; 8. International Conference; 9. Allocation of Shipbuilding Resources; 10. Restriction of Liquor Trade; 11. Proposed Financial Conference with the French Government; 12. Postponement of Petrograd Conference
CAB,23,1,13,21-Dec-16,Conclusion,WC 13 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . R Cecil.,1. The Overtures for Peace by the President of the United States of America; 2. Canada; 3. The Russian Mission; 4. Coal for Italy - The Shortage of Merchant Shipping; 5. Proposed Curtailment of Domestic Coal Consumption in the United Kingdom in order to free Locomotives and Waggons for use in France; 6. Transport Workers' Battalions; 7. The Debadging of Skilled Workers in Shipyards; 8. Discharge from the Service of Reservists' returned to Shipbuilding Work; 9. Restriction of Imports; 10. Conciliation and Arbitration Board for Government Employees
CAB,23,1,14,21-Dec-16,Conclusion,WC 14 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law.,1. Untried Irish Prisoners
CAB,23,1,15,22-Dec-16,Conclusion,WC 15 ,D Lloyd George . Curzon . Milner . A Henderson . E Carson . J Jellicoe.,1. El Arish; 2. Coal for Italy; 3. The Publication of Naval Losses; 4. The Surrender of Mercantile Shipping by the Admiralty; 5. The Rate of Construction of Merchant Shipping; 6. Dilution of Labour at the Shipyards; 7. Consultation with the Dominions and India (Imperial Conference.); 8. Air Board
CAB,23,1,16,23-Dec-16,Conclusion,WC 16 ,D Lloyd George . Curzon . A Bonar Law . Milner . W Robertson.,1. Alien Princes Deprivation of Titles Bill; 2. The American peace overtures; 3. The French Draft Reply to the German Peace Overtures; 4. Greece; 5. British Representative with M. Venizelos; 6. Consultation with the Dominions and India (Imperial Conference)
CAB,23,1,17,23-Dec-16,Conclusion,WC 17 ,D Lloyd George . Curzon . A Bonar Law . Milner.,1. The Balkans (Military Policy); 2. Visit of French Ministers
CAB,23,1,18,26-Dec-16,Conclusion,WC 18 ,D Lloyd George . Curzon . Milner . A Bonar Law.,1. Roumania: Destruction of corn; 2. Peace Proposals: The Question of Replies to be sent to American and German Notes; 3. Conference of French and British Ministers in London; 4. Military Policy in the Balkans; 5. Salonica Port Facilities; 6. Shipping: Despatch of Troops to Salonica; 7. Coal for Italy; 8. British Ships trading between Neutral Countries; 9. Shipping employed by the Liquor Traffic
CAB,23,1,19,27-Dec-16,Conclusion,WC 19 ,D Lloyd George . Curzon . Milner . A Bonar Law . A Balfour . W Robertson . J Jellicoe.,1. The Western Front - Proposed extension of the British Line; 2. The Balkans: The Military Policy
CAB,23,1,20,27-Dec-16,Conclusion,WC 20 ,D Lloyd George . Curzon . Milner . A Bonar Law . A Balfour . J Jellicoe . R Cecil . W Robertson . G Macdonogh . J Rodd.,1. Greece; 2. Salonica
CAB,23,1,21,28-Dec-16,Conclusion,WC 21 ,D Lloyd George . Curzon . Milner . A Bonar Law . A Balfour . R Cecil . J Rennell Rodd . J Jellicoe . W Robertson.,1. A Proposed Conference with the Italians; 2. The Balkans; 3. The American Peace Note
CAB,23,1,22,29-Dec-16,Conclusion,WC 22 ,D Lloyd George . Curzon . Milner . A Bonar Law . E Carson . J Jellicoe . Derby.,1. The Proposed Anglo-French-Italian Conference; 2. The Balkans - Enemy Action; 3. Valona; 4. The Strength of the British and French Forces on the Western Front; 5. The Accident in Boulogne Harbour; 6. Rumours of an Intended Enemy Attack on Walcheren; 7. Possibilities of a Landing in Rear of the Left Flank of the Allied Armies on the Western Front; 8. Guns for Merchant Ships; 9. The Possible Use of 18-pr. Guns; 10. Proposed Diversion of Guns from Anti-Aircraft Defence to Merchant Ships; 11. Proposed Diversion to Merchant Ships of a Proportion of Future Supplies of Anti-Aircraft Guns; 12. New Orders to be Placed with the Bethlehem Company; 13. French Guns; 14. Coast Defence Guns; 15. Guns Intended for Russia; 16. Supplies from America; 17. German Outrage in the Case of the Sinking of Steamship Westminster; 18. The Proposed Anglo-French-Italian Conference
CAB,23,1,23,30-Dec-16,Conclusion,WC 23 ,D Lloyd George . Curzon . Milner . A Balfour . R Cecil . F Maurice . E Carson . J Jellicoe.,1. Possibilities of a Landing in Rear of the Left Flank of the Allied Armies on the Western Front; 2. The Strength of the British and French Forces on the Western Front; 3. Fighting Strength and Total Strength; 4. Greece; 5. The Second Ultimatum; 6. Euboea; 7. Greek Treasury Bills; 8. Proposed Anglo-French - Italian Conference - Naval and Shipping Representatives; 9. Military Representatives; 10. Proposed Anglo-French - Italian Conference - Powers of the Delegates; 11. Rifles for Roumania; 12. Proposed Diversion - to Merchant Ships of a Proportion of Future Supplies of Anti-Aircraft Guns; 13. Norwegian Territorial Waters; 14. The Accident in Boulogne Harbour; 15. Reprisals for Outrages
CAB,23,1,24,1-Jan-17,Conclusion,WC 24 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . A Balfour.,1. Greece - The Anglo-French-Italian Conference; 2. British Colony at Athens; 3. The Possibility of Attacking the Greek Communications at the Corinth Canal; 4. Belgium and the Peace Note; 5. Persia - The Situation in the South; 6. Consultation with the Dominions and India (Imperial Conference.); 7. Mr. Hughes' Attendance - Influence of Irish Situation in Australia; 8. Representation of India; 9. India's Share in the War - Rifles for Roumania
CAB,23,1,25,2-Jan-17,Conclusion,WC 25 ,D Lloyd George . Milner . A Bonar Law . A Henderson . Hardinge.,1. Greece; 2. The Loss of a Transport in the Mediterranean; 3. Transport Services to India; 4. Mr. Henderson's Visit to France; 5. Ferry-Boats for Cross-Channel Transport Service; 6. The Anglo-French Italian Conference; 7. Proposed Campaign in Palestine; 8. India's Share in the War; 9. Propaganda: In relation to the Peace Notes; 10. Propaganda: General; 11. Heavy Ordnance: Delays in Output; 12. British Minister at The Hague
CAB,23,1,26,3-Jan-17,Conclusion,WC 26 ,A Bonar Law . A Henderson . J Jellicoe . H Belfield . F Maurice.,1. The Loss of a Transport in the Mediterranean - Admiralty Powers over Merchant Service; 2. Reprisals for Outrages; 3. The Shortage of Merchant Shipping (Horses); 4. Artillery for Russia
CAB,23,1,27,4-Jan-17,Conclusion,WC 27 ,A Bonar Law . Curzon . A Henderson . A Balfour . R Cecil.,"1. The Balkans: Enemy, Action; 2. Euboea: Magnesite Mines; 3. Belgian Exports; 4. The Belgian Relief Commission; 5. Southern Persia"
CAB,23,1,28,5-Jan-17,Conclusion,WC 28 ,A Bonar Law . A Henderson . W Long . F Maurice . E Carson . J Jellicoe.,1. Movement of Troops from Sierra Leone to Lagos; 2. The Loss of a Transport in the Mediterranean
CAB,23,1,29,8-Jan-17,Conclusion,WC 29 ,A Bonar Law . Curzon . A Henderson . A Balfour . F Maurice . A Chamberlain.,1. Roumania; 2. The Western Front; 3. Indian Shipping: Transport of families; 4. Rabegh: The Arab Revolt; 5. Southern Persia
CAB,23,1,30,9-Jan-17,Conclusion,WC 30 ,A Bonar Law . Curzon . A Henderson . F Maurice.,1. Loss of H.M.S. Cornwallis; 2. Rabegh: The Arab Revolt. Water Supply; 3. Restriction of Imports; 4. Blockade of Greece; 5. Guns for Merchant Ships; 6. Separation Allowance; 7. Munitions for Russia: Congestion on the Trans-Siberian Railway
CAB,23,1,31,10-Jan-17,Conclusion,WC 31 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . A Chamberlain . W Long.,1. The Recent Conference at Rome; 2. Balkans: Reinforcements for Salonika; 3. Transport of Troops to Macedonia through Italy; 4. Proposed Offensive on Italian Front; 5. Greece: Protection to Venizelists; 6. Extension of Front in France; 7. Mesopotamia; 8. Russian Front; 9. German Moral; 10. Russia: Change of Government; 11. Separation Allowances; 12. Man-Power and the Director of National Service; 13. Consultation with the Dominions and India (Imperial Conference.) - Representation of India; 14. India's Financial Contribution to the War; 15. Arab Revolt: Rabegh
CAB,23,1,32,11-Jan-17,Conclusion,WC 32 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . E Carson . R Cecil.,1. Separation Allowances; 2. General Nivelle's Visit to England; 3. Destruction of Grain in Roumania; 4. The Sinai Peninsula; 5. The Arab Revolt: Rabegh; 6. German Army Expansion; 7. The forthcoming Conference in Russia; 8. The Utilisation of Fighting Ships for the Conveyance of Troops; 9. The forthcoming Allied Naval Conference; 10. Greece: Reply to the Allies' Ultimatum; 11. Enemy Shipping in South American Ports; 12. Decoy Vessels for Action against Enemy Submarines; 13. Coal for France; 14. Employment of Prisoners of War
CAB,23,1,33,12-Jan-17,Conclusion,WC 33 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . R Cecil . J Jellicoe.,"1. The Forthcoming Conference in Russia; 2. Submarines: (British and German.) Estimated Losses and Rate of Construction; 3. Restriction of Liquor Traffic; 4. National Service and Agriculture; 5. French Commissions or Parliamentary Committees; 6. The Instructions to the Commander-in-Chief, British Forces, Salonica"
CAB,23,1,34,15-Jan-17,Conclusion,WC 34 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . A Balfour . D Haig . W Robertson . J Davidson . E Dillon . M Cambon . Nivelle . M de Fleuriau . De La Panouse . D'Alancon . De Bertier de Sauvigny . De Suzannet . Guillaume.,1. The Western Front
CAB,23,1,35,16-Jan-17,Conclusion,WC 35 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . A Balfour . D Haig . W Robertson . F Maurice . J Davidson . E Dillon . M Cambon . Nivelle . M de Fleuriau . De La Panouse . D'Alancon . De Bertier de Sauvigny . De Suzannet . Guillaume.,1. The Western Front
CAB,23,1,36,17-Jan-17,Conclusion,WC 36 ,D Lloyd George . Curzon . Milner . A Henderson . A Bonar Law . J Jellicoe . W Robertson.,1. The Forthcoming Conference in Russia; 2. The Organisation of the War Cabinet; 3. Greece; 4. The Western Front; 5. Roumania; 6. The German Raider; 7. The Naval and Shipping Conference; 8. Ferry-Boats for Cross-Channel Transport Service; 9. Cross-Channel Transport of Rolling-stock; 10. Repair of Belgian Ports; 11. Restriction of Imports
CAB,23,1,37,18-Jan-17,Conclusion,WC 37 ,D Lloyd George . Curzon . Milner . A Henderson.,"1. War Cabinet Organisation; 2. Salonica Reinforcements; 3. Greece; 4. Italy, Interchange of Visits between British and Italian Armies; 5. Mesopotamia; 6. Portugal; 7. Cross-Channel Transport of Rolling-stock; 8. Government Control of Coal fields; 9. The Forthcoming Conference in Russia - Military Aspects -  Guns and Aeroplanes; 10. Railways; 11. Political Aspects; 12. Poland; 13. Separation Allowances"
CAB,23,1,38,19-Jan-17,Conclusion,WC 38 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . Derby . W Robertson . J Jellicoe.,"1. The forthcoming Conference in Russia. (Railways.); 2. Restriction of Navigation in the North Sea; 3. The Accident in Boulogne Harbour; 4. Portugal; 5. Gas Shell. Use of, against the Turks; 6. Consultation with the Dominions and India (Imperial Conference.) Representatives of India; 7. The Naval and Shipping Conference"
CAB,23,1,39,19-Jan-17,Conclusion,WC 39 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . G Cave . R Redmayne . Derby . C Macready . A Geddes . A Chamberlain . W Long . E Carson . F Tudor . A Stanley . H Llewellyn Smith . R Prothero . Rhondda . H Monro . L Gibbon . C Addison . F Kellaway . S Kent . J Hodge . D Shackleton . C Rey . J Maclay . N Chamberlain . E Fawcett . D Stevenson . A Collins . Adams.,1. Man-Power. Report of the Director of National Service. Agriculture; 2. Mining; 3. Munitions; 4. Railways; 5. Relation with Ministry of Munitions; 6. General; 7. Calling up of Men under 19; 8. Instructions to Local Tribunals; 9. Man-Power in Home Defence Units; 10. Man-Power Behind the Lines - Imported Labour
CAB,23,1,40,22-Jan-17,Conclusion,WC 40 ,D Lloyd George . A Bonar Law . A Balfour . Hardinge . W Robertson . French . E Carson . J Jellicoe . H Oliver . L Halsey . J Maclay.,1. Weekly Summaries of External Political Affairs; 2. General Staff Weekly Summaries; 3. Mesopotamia; 4. The Balkans; 5. Western Front; 6. Greece; 7. Reparation Salute; 8. The Arab Revolt. The Farsan Islands; 9. The Shortage of Merchant Shipping - The Numbers Carried by Transports; 10. Portugal; 11. The Forthcoming Conference in Russia; 12. Home Defence - The Number of Divisions that can be sent to France during the next few Months; 13. Man-power - The Employment of Home Defence Forces to Assist in Civil Occupations; 14. The Naval Situation - Shipbuilding and the Submarine Menace; 15. Further Examination of Naval and Shipping Questions; 16. Ferry-Boats for Cross-Channel Transport Service
CAB,23,1,41,23-Jan-17,Conclusion,WC 41 ,D Lloyd George . Curzon . A Bonar Law . Derby.,"1. The Western Front; 2. The Balkans; 3. Greece; 4. Naval Action; 5. Man-Power - Resources of the Empire - Australia, New Zealand, Canada; 6. Egypt; 7. Agriculture"
CAB,23,1,42,23-Jan-17,Conclusion,WC 42 ,D Lloyd George . Curzon . A Bonar Law . W Long . G Cave . R Munro . Rhondda . R Prothero . Devonport . J Maclay . D'Abernon . W Marwood.,"1. Report by Food Controller on Bread, Meat, and Sugar; 2. Sugar; 3. Wheat; 4. Meat; 5. Proposed Proclamation on Food; 6. Man-Power: Agriculture; 7. Agriculture: Credit for Farmers; 8. Restriction of Liquor Traffic. (War Cabinet 33, Minute 3, and Appendix II); 9. Beer; 10. Wines and Spirits; 11. Malting; 12. Forestalment; 13. Taxation; 14. Proposed Drink Bill; 15. Extension of Area under Liquor Control Board; 16. Transport of Beer"
CAB,23,1,43,24-Jan-17,Conclusion,WC 43 ,D Lloyd George . Curzon . Hardinge . W Robertson . A Balfour . R Cecil . Hall . G Macdonogh.,"1. Arab Revolt; 2. Western Front; 3. Russia, Guns for; 4. The Naval Action; 5. Greece: The Control Arrangements; 6. Unity of Policy Among the Allies in Greek Affairs; 7. Propaganda; 8. Circulation of Papers; 9. Agenda Paper"
CAB,23,1,44,25-Jan-17,Conclusion,WC 44 ,D Lloyd George . Curzon . A Bonar Law . A Balfour . Hardinge . F Maurice . L Oliphant . J Jellicoe . A Chamberlain . E Barrow . A Hirtzel . E D'Eyncourt . A Stern . S Lever.,1. The Balkans; 2. Enemy Action; 3. Greece - Volo; 4. Russia - General Alexeieff; 5. The Naval Action; 6. Southern Persia; 7. Tanks
CAB,23,1,45,25-Jan-17,Conclusion,WC 45 ,D Lloyd George . Curzon . A Bonar Law.,1. Man-Power - Agriculture; 2. Expenditure; 3. Board of Agriculture; 4. Egypt and Soudan Food Production; 5. Food Control - Sugar; 6. Merchant Shipbuilding; 7. Shipbuilding Abroad; 8. British Columbia Model
CAB,23,1,46,26-Jan-17,Conclusion,WC 46 ,D Lloyd George . Curzon . A Bonar Law . A Balfour . Hardinge . F Maurice . E Carson . J Jellicoe . J Maclay . C Addison . Price . A Stanley.,1. East Africa; 2. Loss of the Laurentic; 3. Bombardment of Southwold; 4. The Arab Revolt. The Farsan Islands; 5. Directorate of National Service; 6. Hospital Ships in the Black Sea; 7. Mine-laying Policy; 8. Restriction of Navigation in the North Sea; 9. Anti-Submarine Warfare; 10. Protection Against Mines; 11. 18-pr. Guns for Merchant Ships; 12. Nationalisation of Shipping
CAB,23,1,47,29-Jan-17,Conclusion,WC 47 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . Hardinge . R Cecil . J Hodge . W Robertson . C Addison . E Carson . J Jellicoe . R Webb.,1. The Western Front; 2. Russia: Artillery; 3. Greece - Control Arrangements; 4. Relaxation of Blockade; 5. Japan and the German Islands in the Pacific: Naval co-operation; 6. The Labour Party Conference; 7. The Speaker's Conference; 8. The Blockade; 9. Holland: Entry of Armed Merchantmen into Dutch Ports; 10. Loss of the Laurentic; 11. Norway: Export of Pyrites; 12. Release of British Mercantile Marine in the Baltic: Interdepartmental Committee on Shipping; 13. Norwegian Territorial Waters; 14. The German Raider; 15. Russia: Railways; 16. The Dardanelles Commission
CAB,23,1,48,30-Jan-17,Conclusion,WC 48 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . Hardinge . A Chamberlain . W Robertson . N Macready . J Jellicoe . L Halsey . G Cave . J Maclay . W Granet . J Lowther.,"1. German reports regarding the sinking of a Transport; 2. Future Military Operations; 3. Palestine; 4. Mesopotamia; 5. Coal for Italy; 6. Prussic Acid Shells - (Cyanide of Potassium); 7. Portugal; 8. The sinking of a German Submarine; 9. Loss of a British Submarine; 10. India's Contribution to the War; 11. Position of Military Members of Parliament; 12. Alien Princes ""Deprivation of Titles"" Bill; 13. Salonica: Port Facilities; 14. German Prisoners of War employed in the Western Zone of Operations"
CAB,23,1,49,30-Jan-17,Conclusion,WC 49 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . C Addison . J Maclay . G Barnes . T Macnamara . A Stanley . J Hodge . F Tudor.,1. Merchant Shipbuilding; 2. Steel
CAB,23,1,50,31-Jan-17,Conclusion,WC 50 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . Hardinge . W Robertson . W Furze . Devonport . C Addison . M Sykes . E Carson . J Jellicoe . L Halsey . M Singer . J Maclay . A Stanley . N Hill.,1. Encouragement of Suggestions from Military Officers; 2. Greece: The Control Arrangements; 3. The Arab Revolt: Capture of Wej; 4. The Loss of a British Submarine; 5. Hospital Ships: Reprisals; 6. Greece: Volo; 7. The Arab Revolt: The Control of Military Operations in the Hedjaz; 8. Naval and Shipping Conference; 9. Guns for Merchant Ships; 10. 18.pr. Guns; 11. Railways; 12. War Medal for Mercantile Marine
CAB,23,1,51,1-Feb-17,Conclusion,WC 51 ,A Bonar Law . Curzon . A Henderson . Hardinge . L Mallet . J Gregory . W Long . H Lambert . A Chamberlain . J Maclay . W Robertson . N Macready . J Cowans . F Maurice . H Percival . H Oliver . L Halsey . G Granet.,"1. Mesopotamia; 2. Portugal; 3. The Loss of a British Submarine; 4. Blockade of the United Kingdom, France, and Italy; 5. Japanese Request for Assurances as regards the Future of German Islands North of the Equator; 6. Shantung; 7. Imperial Consultation with Dominions and India; 8. Entertainment of Representatives of Dominions and India; 9. Discipline of the Australian Troops; 10. The Supply Situation; 11. The Channel Tunnel; 12. Compensation for Requisitioning the Steamship Conte Rosso; 13. German Prisoners of War Employed in the Western Zone of Operations"
CAB,23,1,52,2-Feb-17,Conclusion,WC 52 ,A Bonar Law . Curzon . A Henderson . A Balfour . Hardinge . R Cecil . E Smith . C Addison . A Stanley . J Jellicoe . F Maurice . R Webb . C Hipwood.,"1. Russia: Railways; 2. Sinking of a British Submarine; 3. Hospital Ships; 4. Air Board; 5. Blockade of the United Kingdom, France, and Italy; 6. Swedish Agreement; 7. Food Supplies: Statement in the United States of America; 8. Russian Reservation to the Resolutions of the Paris Economic Conference; 9. Restriction of Supplies of Material to the Allied Governments"
CAB,23,1,53,3-Feb-17,Conclusion,WC 53 ,A Bonar Law . Curzon . A Henderson . A Balfour . Hardinge . R Cecil . A Stanley . Cowdray . E Carson . J Jellicoe . Webb . T Fisher . F Maurice.,"1. Air Board; 2. Greece: Blockade; 3. Control Arrangements; 4. Mesopotamia; 5. Portugal; 6. Hospital Ships; 7. Blockade of the United Kingdom, France, and Italy: Detention of Neutral Shipping; 8. Control of Canals"
CAB,23,1,54,5-Feb-17,Conclusion,WC 54 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . Hardinge . Derby . W Robertson . A Chamberlain . E Carson . J Jellicoe . R Cecil . T Fisher.,"1. The United States of America; 2. The Sinking of a Belgian Relief Ship; 3. Belgian Relief; 4. Japan; 5. Mesopotamia; 6. Transport of Troops to France; 7. Air Raids; 8. Blockade of the United Kingdom, France, and Italy; 9. The British Blockade; 10. The Destruction of Enemy Submarines: The Question of Publication; 11. Attendance at the War Cabinet"
CAB,23,1,55,5-Feb-17,Conclusion,WC 55 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . Derby . C Macready . A Geddes . J Hodge . N Chamberlain . E Hiley . C Addison . G Cave . R Prothero . H Smith . S Kent . E Fawcett.,1. Man-Power: Release of Men between 18 and 22; 2. Decision of 19th January; 3. Proposal to Reduce Divisions; 4. Review of Exemptions; 5. Food Controller: Parliamentary Secretary; 6. Agriculture: Purchase of 1917 Harvest; 7. National Service and Ireland
CAB,23,1,56,6-Feb-17,Conclusion,WC 56 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . Hardinge . G Macdonogh . J Jellicoe . W Long . Rhondda . W Fisher . G Cave.,1. The Western Front; 2. Mesopotamia; 3. Greece - General Sarrail; 4. The Greek Troops in Thessaly; 5. The Transport of Troops in France; 6. Franchise and Registration
CAB,23,1,57,8-Feb-17,Conclusion,WC 57 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . Hardinge . W Robertson . J Maclay . E Carson . J Jellicoe . W Long . H Lambert . R Cecil.,"1. The United States: The German Ambassador; 2. The Conference in Russia; 3. Delay on the French Railways; 4. Mining of a Transport; 5. Submarines; 6. The Captured German Colonies; 7. The British Blockade; 8. Blockade of the United Kingdom, France, and Italy; 9. Manning of Merchantmen: Bonus to Crews; 10. Hospital Ships: Reprisals"
CAB,23,1,58,8-Feb-17,Conclusion,WC 58 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . J Maclay . E Carson . J Jellicoe.,1. The Naval Situation - Shipbuilding Programme; 2. Increase of Speed of Merchant Ships; 3. Iron Ore from Spain
CAB,23,1,59,9-Feb-17,Conclusion,WC 59 ,D Lloyd George . Curzon . A Henderson . A Balfour . Hardinge . Derby . W Robertson . W Long . Rhondda . J Hodge . N Chamberlain . C Callwell . E Carson . J Jellicoe . L Halsey . A Chamberlain . R Cecil . J Maclay . A Thring . E Campbell.,1. The Russian Conference; 2. The Arab Revolt; 3. Aircraft; 4. Air Raid; 5. Loss of the Destroyer Ghurka; 6. Loss of Transports; 7. Submarines; 8. Railways -  Mr. Illingworth's Committee; 9. Railways in France; 10. The Transport of Iron Ore from Spain; 11. The Shipping Controller's Powers; 12. Proposed Control of Parliamentary Questions; 13. The possible Spread of Epidemics by dropping Germs from the Air; 14. National Service - Powers of Director. Legislation
CAB,23,1,60,9-Feb-17,Conclusion,WC 60 ,D Lloyd George . Curzon . A Henderson . E Carson . J Jellicoe . L Halsey . H Oliver . J Maclay . J Anderson . A Lee . Adams . F Ponsonby . M Bonham-Carter.,1. Sulphate of ammonia; 2. The Shipping Controller's Powers; 3. The Order of the British Empire; 4. Propaganda
CAB,23,1,61,10-Feb-17,Conclusion,WC 61 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . H Duke . E Carson.,1. Ireland
CAB,23,1,62,12-Feb-17,Conclusion,WC 62 ,D Lloyd George . Curzon . A Henderson . A Bonar Law . A Balfour . J Maclay . L Money . E Carson . A Stanley . R Webb.,1. Shortage of Merchant Shipping: The Australian Coastal Trade; 2. Coal for Italy; 3. Restriction of Imports; 4. The Nationalisation of Shipping; 5. The Consumption of Petrol; 6. Control of Canals
CAB,23,1,63,12-Feb-17,Conclusion,WC 63 ,D Lloyd George . Curzon . A Henderson . A Balfour . Hardinge . J Jellicoe . A Chamberlain . H Cox . A Hirtzel . Derby . W Robertson . H Belfield . W Long . H Lambert . L Oliphant . J Gregory.,1. Submarines; 2. Raids; 3. Publication of Shipping Losses; 4. The Western Front; 5. German Reserves; 6. Iron Ore from Spain; 7. The Command at Salonika; 8. Prisoners of War: Reprisals; 9. Japan and Shantung; 10. Japanese request for assurances as regards the future of the German Islands north of the Equator; 11. Southern Persia
