collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,,
CAB,24,1,25,28-Sep-15,Memorandum,G 25,The Dardenelles. Copy of a Letter from Mr K. A. Murdoch to the Prime Minister of the Australian Commonwealth,K A Murdoch,,
CAB,24,1,26,Oct-15,Memorandum,G 26,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, September 1 to 28, inclusive, 1915.",Secretary,,
CAB,24,1,27,Oct-15,Memorandum,G 26a,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, September 29 to October 5, 1915.",Secretary,,
CAB,24,1,28,Oct-15,Memorandum,G 26b,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, October 5 to 14, 1915.",Secretary,,
CAB,24,1,29,Oct-15,Memorandum,G 26c,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, October 14-21, 1915.",Secretary,,
CAB,24,1,30,Oct-15,Memorandum,G 26d,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, October 21-25, 1915.",Secretary,,
CAB,24,1,31,Nov-15,Memorandum,G 26e,"Precis of Documents and Proceedings connected with the Political and Military Developments in the Balkan Peninsula, October 25-30, 1915.",Secretary,,
CAB,24,1,32,12-Oct-15,Memorandum,G 27,War Policy. Report and Supplementary Memoranda of a Cabinet Committee,Secretary,,
CAB,24,1,33,16-Oct-15,Memorandum,G 28,Report of an Inter-Departmental Committee on the Strategical Situation in Mesopotamia.,Secretary,,
CAB,24,1,34,23-Oct-15,Memorandum,G 29,Preparations for a Winter Campaign at the Dardanelles.,Secretary,,
CAB,24,1,35,15-Oct-15,Memorandum,G 30,The Winter Climate of the Balkan Peninsula.,Meteorological Office,,
CAB,24,1,36,16-Oct-15,Memorandum,G 31,"Minute by the Secretary, Military Department, India Office, on the question of an Advance to Baghdad.",E G Barrow,,
CAB,24,1,37,29-Oct-15,Memorandum,G 32,Notes by Lord Esher of a Conversation with General Gallieni.,Esher,,
CAB,24,1,38,8-Nov-15,Memorandum,G 33,The Conduct of the War.,W R Robertson,,
CAB,24,1,39,9-Nov-15,Memorandum,G 34,Report on Experiments to employ Hydraulic Jets for the Attack of Trenches.,E D Swinton,,
CAB,24,1,40,12-Nov-15,Memorandum,G 35,The Question of Training Men for the Employment of the Machine Guns now under Supply.,D Lloyd George,,
CAB,24,1,41,14-Nov-15,Memorandum,G 36,Revictualling of the Serbian Army.,A J Murray,,
CAB,24,1,42,15-Nov-15,Memorandum,G 37,Meeting of Representatives of the Allied Armies.,W R Robertson,,
CAB,24,1,43,18-Nov-15,Memorandum,G 38,Future Operations in East Africa.,Secretary,,
CAB,24,1,44,20-Nov-15,Memorandum,G 39,Winter in the Balkans. Letter from Mr H. M. Wallis to Mr C. F. G. Masterman forwarded by the Chief of the Imperial General Staff.,H M Wallis,,
CAB,24,1,45,20-Nov-15,Memorandum,G 40,Draft Arrangements for Co-ordinating the Action of the Allies with regard to the War.,Secretary,,
CAB,24,1,46,24-Nov-15,Memorandum,G 41,The Military Situation in India and the Middle East.,E G Barrow,,
CAB,24,1,47,26-Nov-15,Memorandum,G 42,The Dardenelles. Memorandum by General Sir Ian Hamilton on a letter from Mr K. A. Murdoch to the Prime Minister of the Australian Commonwealth (C.I.D. Paper G. 25).,Ian Hamilton,,
CAB,24,1,48,29-Nov-15,Memorandum,G 43,The Future Military Policy at the Dardanelles.,Secretary,,
CAB,24,1,49,29-Nov-15,Memorandum,G 44,An Appreciation of the Situation in Mesopotamia.,E G Barrow,,
CAB,24,1,50,3-Dec-15,Memorandum,G 45,Supplies of Important Commodities Available to the Enemy from Balkan Sources.,Board of Trade,,
CAB,24,1,51,17-Dec-15,Memorandum,G 46,"The Arab Question. Evidence of Lieutenant-Colonel Sir Mark Sykes, Bart., M.P. Meeting held at 10, Downing Street, on Thursday, December 16, 1915, at 11.30am.",Secretary,,
CAB,24,2,1,5-Jan-16,Memorandum,G 47,The Question of Offensive Operations on the Western Front.,Chief of the Imperial General Staff,,
CAB,24,2,2,5-Jan-16,Memorandum,G 48,Draft Arrangements for Co-ordinating the Action of the Allies with regard to the War.,Secretary,,
CAB,24,2,3,17-Jan-16,Memorandum,G 49,Military Policy.,Austen Chamberlain,,
CAB,24,2,4,20-Jan-16,Memorandum,G 50,The Supply of Rifles and Small Arms Ammunition to the Russian Army.,Chief of the Imperial General Staff,,
CAB,24,2,5,31-Jan-16,Memorandum,G 51,The Situation in Mesopotamia.,Chief of the Imperial General Staff,,
CAB,24,2,6,31-Jan-16,Memorandum,G 52,The Control of the Operations in Mesopotamia.,Chief of the Imperial General Staff,,
CAB,24,2,7,31-Jan-16,Memorandum,G 53,"The Supply of Guns, Howitzers, and Artillery Ammunition to the Russian Army",Chief of the Imperial General Staff,,
CAB,24,2,8,31-Jan-16,Memorandum,G 54,The Strategical Consequences of Swedish Intervention in the War on the side of the Central Powers.,Chief of the Imperial General Staff,,
CAB,24,2,9,28-Jan-16,Memorandum,G 55,Duties of the Royal Naval Air Service and the Royal Flying Corps.,David Henderson,,
CAB,24,2,10,8-Feb-16,Memorandum,G 56,Summary of Naval Situation.,First Sea Lord of the Admiralty,,
CAB,24,2,11,22-Feb-16,Memorandum,G 57,Naval Policy.,Prime Minister,,
CAB,24,2,12,25-Feb-16,Memorandum,G 58,"Observations by the First Lord of the Admiralty on the Prime Ministers Note(G. 57) on Naval Policy, dated the 22nd February, 1916.",First Lord of the Admiralty,,
CAB,24,2,13,25-Feb-16,Memorandum,G 59,The Naval Situation.,John R Jellicoe,,
CAB,24,2,14,2-Mar-16,Memorandum,G 60,Food Supply and Production.,Earl of Selborne,,
CAB,24,2,15,3-Mar-16,Memorandum,G 61,Memorandum on Mercantile Shipping.,Secretary,,
CAB,24,2,16,Mar-16,Memorandum,G 62,"Quantities of the Principal Foodstuffs held in Stock in the United Kingdom in each Month from October 1, 1914, to February 1, 1916.",Board of Agriculture and Fisheries,,
CAB,24,2,17,2-Mar-16,Memorandum,G 63,The Transport of War Material to Russia.,Secretary,,
CAB,24,2,18,8-Mar-16,Memorandum,G 64,Power to Restrict Lighting under the Defence of the Realm Act.,Home Office,,
CAB,24,2,19,16-Mar-16,Memorandum,G 65,The Food Supply of the United Kingdom.,Earl of Selborne,,
CAB,24,2,20,15-Mar-16,Memorandum,G 66,The Naval Situation. Letter from Lord Fisher to the Prime Minister.,Fisher,,
CAB,24,2,21,21-Mar-16,Memorandum,G 67,Note on the Blockade of the North Sea.,Chief of the Imperial General Staff,,
CAB,24,2,22,6-Apr-16,Memorandum,G 68,Possibility of Importing Labour From Italy.,M P A Hankey,,
CAB,24,2,23,31-Mar-16,Memorandum,G 69,"Growth of our Fleets in Home Waters, August 4, 1914, to March 31, 1916.",Balfour,,
CAB,24,2,24,10-May-16,Memorandum,G 70,The Political Situation in Greece.,Robert Cecil,,
CAB,24,2,25,24-May-16,Memorandum,G 71,A Comparison of the Development of Light Railways and Canals by ourselves and by the enemy in Belgium and France.,General Staff,,
CAB,24,2,26,9-Sep-16,Memorandum,G 72,"Enemy Personnel Committee. Inquiry regarding the probable Resources of the Enemy in Personnel at the Present Stage of the War (i.e., May 31, 1916).",Enemy Personnel Committee,,
CAB,24,2,27,6-Jul-16,Memorandum,G 73,"The Arab Revolt. Precis of Evidence of Lieutenant-Colonel Sir Mark Sykes, Bart. M.P., at a Meeting (see Paper W.C. 53) of the War Committee held at 10, Downing Street, on July 6, 1916.",Mark Sykes,,
CAB,24,2,28,8-Jul-16,Memorandum,G 74,The Presentation to Parliament of Papers in Regard to the Military Operations in Mesopotamia and the Dardanelles.,Secretary,,
CAB,24,2,29,19-Jul-16,Memorandum,G 75,The Royal Aircraft Factory.,President of the Air Board,,
CAB,24,2,30,29-Aug-16,Memorandum,G 76,The Problems of Peace.,Montagu,,
CAB,24,2,31,Sep-16,Memorandum,G 77,Supply of Aeroplanes.,Montagu,,
CAB,24,2,32,7-Aug-16,Memorandum,G 78,Suggested Basis for a Territorial Settlement in Europe.,Ralph Paget and W Tyrrell,,
CAB,24,2,33,19-Sep-16,Memorandum,G 79,War Risk Insurance Scheme: Proposed Advance in Rates.,Admiralty,,
CAB,24,2,34,23-Sep-16,Memorandum,G 80,The Employment of Prisoners of War.,Adjutant-General,,
CAB,24,2,35,17-Sep-16,Memorandum,G 81,Conditions of an Armistice.,Earl of Crawford and Balcarres,,
CAB,24,2,36,10-Oct-16,Memorandum,G 82,The War Committee and Naval 6-Inch Guns.,First Lord of the Admiralty,,
CAB,24,2,37,12-Oct-16,Memorandum,G 83,Supply of Aeroplanes.,Curzon,,
CAB,24,2,38,16-Oct-16,Memorandum,G 84,Supply of Aeroplanes.,Montagu,,
CAB,24,2,39,Oct-16,Memorandum,G 85,"A General Review of the Situation in all Theatres of War, together with a Comparison of the Military resources of the Entente and of the Central Powers.",Chief of the Imperial General Staff,,
CAB,24,2,40,14-Oct-16,Memorandum,G 86,"Report on Recent Naval Affairs, October 1916.",Balfour,,
CAB,24,2,41,24-Oct-16,Memorandum,G 87,Our Financial Position in America.,Chancellor of the Exchequer,,
CAB,24,2,42,26-Oct-16,Memorandum,G 88,Merchant Shipping.,President of the Board of Trade,,
CAB,24,2,43,26-Oct-16,Memorandum,G 89,The Econonic Position in The Central Empires.,W G Max Muller,,
CAB,24,2,44,30-Oct-16,Memorandum,G 90,The Economic Position of Germany.,War Trade Intelligence Department,,
CAB,24,2,45,30-Oct-16,Memorandum,G 91,Food Prospects in 1917.,President of the Board of Agriculture and Fisheries,,
CAB,24,2,46,31-Oct-16,Memorandum,G 92,The General Review of the War.,Secretary,,
CAB,24,2,47,1-Nov-16,Memorandum,G 93,Merchant Shipping.,Shipping Control Committee,,
CAB,24,2,48,6-Nov-16,Memorandum,G 94,Guns for Merchant Ships.,Minister of Munitions,,
CAB,24,2,49,10-Nov-16,Memorandum,G 95,Food Supplies.,Secretary of State for War,,
CAB,24,2,50,14-Nov-16,Memorandum,G 96,Cavalry in France.,Curzon,,
CAB,24,2,51,16-Nov-16,Memorandum,G 97,Combined Strategy in Connection with Submarines.,First Sea Lord of the Admiralty and Chief of the Admiralty War Staff,,
CAB,24,2,52,24-Nov-16,Memorandum,G 98,Supply of Aeroplanes.,E S Montagu,,
CAB,24,2,53,7-Dec-16,Memorandum,G 99,Importation of Labour From Abroad.,M P A Hankey and E S Montagu,,
CAB,24,2,54,14-Dec-16,Memorandum,G 100,The Naval Position in Regard to Our Oversea Military Forces.,J R Jellicoe,,
CAB,24,3,1,20-Dec-16,Memorandum,G 101,British Propaganda in Allied and Neutral Countries. Admiralty Notes on the use of the Press in the United States of America.,Admiralty,,
CAB,24,3,2,29-Dec-16,Memorandum,G 102,British Propaganda in Allied and Neutral Countries.,Robert Cecil,,
CAB,24,3,3,23-Dec-16,Memorandum,G 103,Note by the General Staff on the Organization of Propaganda.,General Staff,,
CAB,24,3,4,6-Jan-17,Memorandum,G 104,Note on the position with regard to the requirements of Coal for France by the President of the Board of Trade.,A H Stanley,,
CAB,24,3,5,9-Jan-17,Memorandum,G 105,Restriction of Imports. Preliminary Report of a Committee Appointed by the War Cabinet to Consider and Report on the Question of the Restriction of Imports.,Curzon,,
CAB,24,3,6,Jan-17,Memorandum,G 106,"The Conference of the Allies at Rome on January 5, 6, and 7, 1917. Memorandum Circulated by the Prime Minister to the Delegates.",Prime Minister,,
CAB,24,3,7,16-Dec-16,Memorandum,G 107,Central Control Board (Liquor Traffic).,D'Abernon,,
CAB,24,3,8,11-Jan-17,Memorandum,G 108,"Report by the Food Controller on Bread, Meat, and Sugar.",Devonport,,
CAB,24,3,9,16-Jan-17,Memorandum,G 109,The Greek Question.,Milner,,
CAB,24,3,10,16-Jan-17,Memorandum,G 110,Asia Minor.,Milner,,
CAB,24,3,11,16-Jan-17,Memorandum,G 111,Railway Communication through Italy to the Balkans.,Milner,,
CAB,24,3,12,16-Jan-17,Memorandum,G 112,Transport Generally.,Milner,,
CAB,24,3,13,19-Jan-17,Memorandum,G 112A,Maritime Freights. Translation of a Memorandum by the Italian Minister of Transport,Italian Minister of Transport,,
CAB,24,3,14,16-Jan-17,Memorandum,G 113,Supply of Shells and Steel to Italy: Unskilled Labour from Italy.,Milner,,
CAB,24,3,15,May-17,Memorandum,G 113A,Supply of Shells and Steel Scrap to Italy.,Secretary,,
CAB,24,3,16,16-Jan-17,Memorandum,G 114,Maritime Conference.,Milner,,
CAB,24,3,17,5-Jan-17,Memorandum,G 115,Restriction of Brewing.,Devonport,,
CAB,24,3,18,19-Jan-17,Memorandum,G 116,Restriction of Brewing.,D'Abernon,,
CAB,24,3,19,23-Jan-17,Memorandum,G 117,"Enemy Princes. Parliamentary Pledges. Extracts from Parliamentary Debates, House of Commons.",Secretary,,
CAB,24,3,20,25-Jan-17,Memorandum,G 118,Interim Report of the Sub-Committee on Territorial Changes. Disposal of Pacific Islands taken by the Allies from Germany.,Secretary,,
CAB,24,3,21,22-Mar-17,Memorandum,G 118a,Second Interim Report of the Sub-Committee on Territorial Changes. Conquest of the German Colonies in Africa.,Secretary,,
CAB,24,3,22,28-Mar-17,Memorandum,G 118b,Third Interim Report of the Sub-Committee on Territorial Changes. Territorial Changes and Adjustments.,Secretary,,
CAB,24,3,23,17-Jul-17,Memorandum,G 118c,Fourth Report of the Sub-Committee on Territorial Changes.,Secretary,,
CAB,24,3,24,Sep-17,Memorandum,G 119,Enemy Personnel Committee. Being a Sub-Committee of the Committee of Imperial Defence. Inquiry regarding the probable Resources of the Enemy in Personnel at the present Stage of the War. Second Report.,Enemy Personnel Committee,,
CAB,24,3,25,25-Jan-17,Memorandum,G 120,"Advisory Department of Reconstruction. Proposals Submitted to the Prime Minister by the Right Hon. E. Montagu, M.P.",E Montagu,,
CAB,24,3,26,26-Jan-17,Memorandum,G 121,Position in Regard to Government Timber Purchases.,Alfred Mond and Lionel Earle,,
CAB,24,3,27,25-Jan-17,Memorandum,G 122,Nationalisation of Shipping.,Shipping Controller,,
CAB,24,3,28,26-Jan-17,Memorandum,G 123,"Nationalisation of Shipping. Memorandum by the Parliamentary Secretary of the Ministry of Shipping, with Special Reference to the Formation of an Armed State-Owned Inter-Imperial Shipping System as an Important Element in the Defence of the Empire.",Ministry of Shipping,,
CAB,24,3,29,14-Feb-17,Memorandum,G 124,Restriction of Imports. Report of Interdepartmental Committee.,Secretary,,
CAB,24,3,30,5-Feb-17,Memorandum,G 125,Arrangements for the Treatment and Training of Disabled Soldiers.,Minister of Pensions,,
CAB,24,3,31,1-Feb-17,Memorandum,G 126,"Duties and Functions of the Air Board, and its relations with the Admiralty, War Office, and Ministry of Munitions. Letter from Secretary, Air Board, to Secretary, War Cabinet together with a Memorandum by the Air Board, dated February 1, 1917.",Air Board,,
CAB,24,3,32,9-Feb-17,Memorandum,G 127,The Cancelling of Exemptions granted to men between 18 and 22.,Chancellor of the Exchequer,,
CAB,24,3,33,3-Feb-17,Memorandum,G 128,Propaganda - A Department of Information.,John Buchan,,
CAB,24,3,34,19-Feb-17,Memorandum,G 129,Position of Shipping during 1917.,Alfred W Watson and W Palin Elderton,,
CAB,24,3,35,17-Feb-17,Memorandum,G 130,"Confidential Note on Allied Conference at Petrograd, January-February 1917.",Milner,,
CAB,24,3,36,13-Mar-17,Memorandum,G 131,"Allied Conference at Petrograd, January-February 1917.",Milner,,
CAB,24,3,37,3-Mar-17,Memorandum,G 132,"Allied Conference at Petrograd, January-February 1917.",Henry Wilson,,
CAB,24,3,38,Mar-17,Memorandum,G 133,"Note by Lord Milner on the Proceedings of the Allied Conference at Petrograd, January-February 1917.",Milner,,
CAB,24,3,39,1-Mar-17,Memorandum,G 134,"Allied Conference at Petrograd, January-February, 1917.",G R Clerk,,
CAB,24,3,40,12-Mar-17,Memorandum,G 135,Belgium. Economic Relations with British Empire.,Hymans and Baron de Broqueville,,
CAB,24,3,41,Mar-17,Memorandum,G 136,Memorandum upon Political Parties in the Dominions in Relation to Imperial Representation.,Secretary,,
CAB,24,3,42,10-Mar-17,Memorandum,G 137,"Allied Conference at Petrograd, January-February 1917. Report on Mission to Russia, by Major David Davies, M.P.",David Davies,,
CAB,24,3,43,Mar-17,Memorandum,G 138,"Allied Conference at Petrograd, January-February 1917. Documents relating to the Sub-Commission on Munitions. Parts I, II, III, and IV.",Secretary,,
CAB,24,3,44,Mar-17,Memorandum,G 138A,"Conference of the Allies at Petrograd, January-February 1917. Sub-Committee on Munitions. Part V. Notes and Tables on the Present and Prospective Munition Output of Russia.",Secretary,,
CAB,24,3,45,26-Mar-17,Memorandum,G 139,Wheat Stocks in United Kingdom.,Food Controller,,
CAB,24,3,46,1-Apr-17,Memorandum,G 140,Order of the British Empire.,Curzon,,
CAB,24,3,47,11-Apr-17,Memorandum,G 141,Wheat Supplies.,Joseph Davies,,
CAB,24,3,48,5-Apr-17,Memorandum,G 142,Heligoland.,Admiralty,,
CAB,24,3,49,6-Apr-17,Memorandum,G 143,"Redistillation of Potable Spirits for Munitions, &amp;c.",Waldorf Astor,,
CAB,24,3,50,Apr-17,Memorandum,G 144,State Purchase of the Liquor Traffic.,Waldorf Astor,,
CAB,24,3,51,3-Apr-17,Memorandum,G 145,Effect of Withdrawal from the War from Naval Aspect.,Admiralty War Staff,,
CAB,24,3,52,26-Apr-17,Memorandum,G 146,Position of Merchant Shipbuilding.,Ministry of Shipping,,
CAB,24,3,53,30-Apr-17,Memorandum,G 147,Mammoth Ships.,Curzon,,
CAB,24,3,54,2-May-17,Memorandum,G 148,Machinery for Compulsory Rationing.,Devonport,,
CAB,24,3,55,28-May-17,Memorandum,G 149,Machinery for Distribution and Rationing of Food.,Devonport,,
CAB,24,3,56,Jun-17,Memorandum,G 150,"Reports on the Visit of the Labour Delegation to Russia, April-May 1917.",Secretary,,
CAB,24,4,1,11-Jun-17,Memorandum,G 151,Preparation of Histories of the present War. Historical Section of the Committee of Imperial Defence,M P A Hankey,,
CAB,24,4,2,16-Jul-17,Memorandum,G 152,"British Mission to Russia, June and July, 1917.",Arthur Henderson,,
CAB,24,4,3,27-Aug-17,Memorandum,G 153,The Position of the Northern Neutral Countries. Report of Committee.,Secretary,,
CAB,24,4,4,5-Sep-17,Memorandum,G 154,Soldiers' and Sailors' Pay Committee. First Interim Report.,Secretary,,
CAB,24,4,5,10-Sep-17,Memorandum,G 155,Committee on Man-Power and Recruiting. Agreement between the Ministry of National Service and the Ministry of Labour.,Secretary,,
CAB,24,4,6,20-Sep-17,Memorandum,G 156,Memorandum on Economic Offensive.,Edward Carson,,
CAB,24,4,7,3-Oct-17,Memorandum,G 157,Memorandum on Pacifist Propaganda.,Edward Carson,,
CAB,24,4,8,4-Oct-17,Memorandum,G 158,"Notes on Sir Edward Carson's memorandum entitled ""Economic Offensive"", with some immediate practical suggestions for action by the President of the Board of Trade.",A H Stanley,,
CAB,24,4,9,28-Sep-17,Memorandum,G 159,Proposed Economic Offensive.,Robert Cecil,,
CAB,24,4,10,28-Sep-17,Memorandum,G 160,Economic Offensive.,"Minister of Reconstruction, C Addison ?",,
CAB,24,4,11,8-Oct-17,Memorandum,G 161,Trade War. A Rought Preliminary Note by Mr Montagu.,Montagu,,
CAB,24,4,12,20-Feb-18,Memorandum,G 162,Report of the Egyptian Administration Committee.,Curzon of Kedleston,,
CAB,24,4,13,10-Oct-17,Memorandum,G 163,Reorganisation of the Board of Trade.,Albert Stanley,,
CAB,24,4,14,17-Oct-17,Memorandum,G 164,The Zionist Movement.,Secretary,,
CAB,24,4,15,17-Oct-17,Memorandum,G 165,Legality of certain acts done under the Defence of the Realm Regulations.,Law Officers of the Crown,,
CAB,24,4,16,31-Oct-17,Memorandum,G 166,Financial Blockade. Interim Report No. 1 of a Committee Appointed by the War Cabinet to Consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,17,31-Oct-17,Memorandum,G 167,Non-Ferrous Metals Bill. Interim Report No. 2 of a Committee Appointed by the War Cabinet to Consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,18,3-Nov-17,Memorandum,G 168,Imports and Exports (Restriction) BIll. Interim Report No. 3 of a Committee Appointed by the War Cabinet to Consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,19,1-Nov-17,Memorandum,G 169,Reorganisation of the Board of Trade.,C Addison,,
CAB,24,4,20,7-Nov-17,Memorandum,G 170,Control of Shipbuilding after the War. Interim Report No. 4 of a Committee appointed by the War Cabinet to consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,21,9-Nov-17,Memorandum,G 171,Compulsory Rationing and Distribution of Essential Foods. Memorandum by Food Controller.,Rhondda,,
CAB,24,4,22,15-Nov-17,Memorandum,G 172,Soldiers' and Sailors Pay Committee. Second Interim Report.,Edward Carson,,
CAB,24,4,23,13-Nov-17,Memorandum,G 173,Pacifist Propaganda. Note by Sir George Cave and Draft Regulations.,George Cave,,
CAB,24,4,24,15-Nov-17,Memorandum,G 174,Problem of the Maintenance of the Armed Forces.,A C Geddes,,
CAB,24,4,25,10-Dec-17,Memorandum,G 174a,Maintenance of the Armed Forces. Supplement to Memorandum G. 174 by the Minister of National Service,A C Geddes,,
CAB,24,4,26,16-Nov-17,Memorandum,G 175,Control of Raw Materials. Interim Report No. 5 of a Committee Appointed by the War Cabinet to consider the question of an Economic Offensive.,Edward Carson,,
CAB,24,4,27,20-Nov-17,Memorandum,G 176,War Policy and Cabinet Business.,Edward Carson,,
CAB,24,4,28,6-Dec-17,Memorandum,G 177,Commercial Treaties. Interim Report No. 6 of a Committee Appointed by the War Cabinet to consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,29,1-Dec-17,Memorandum,G 178,Restriction of Imports. Interim Report.,Curzon of Kedleston,,
CAB,24,4,30,10-Aug-17,Memorandum,G 179,Report of Cabinet Committee on War Policy.,"D Lloyd George, Curzon, A Bonar Law, Milner, J C Smuts, M P A Hankey",,
CAB,24,4,31,10-Dec-17,Memorandum,G 180,The Food Situation.,Rhondda,,
CAB,24,4,32,17-Dec-17,Memorandum,G 181,"Report on Existing and Prospective Labour demand and suggested methods for meeting the demand. By the Director-General, National Labour Supply (Ministry of National Service).",C F Rey,,
CAB,24,4,33,5-Dec-17,Memorandum,G 182,German and Turkish Territories Captured in the War. Their Future.,Curzon,,
CAB,24,4,34,6-Dec-17,Memorandum,G 183,New Issues of Capital. Interim Report No. 7 of a Committee appointed by the War Cabinet to consider the Question of an Economic Offensive.,Edward Carson,,
CAB,24,4,35,14-Dec-17,Memorandum,G 184,The Position of the Northern Neutral Countries.,Edward Carson,,
CAB,24,4,36,1-Mar-18,Memorandum,G 185,Final Revise of the Draft Report of the Cabinet Committee on Man-Power.,Secretary,,
CAB,24,4,37,22-Dec-17,Memorandum,G 186,The Position of the Northern Neutral Countries. Holland.,Edward Carson,,
CAB,24,4,38,8-Jan-18,Memorandum,G 187,Scheme for the Development of the British Dye Industry. Interim Report No. 8 of a Committee appointed by the War Cabinet to consider the question of an Economic Offensive.,Board of Trade,,
CAB,24,4,39,2-Jan-18,Memorandum,G 188,Soldiers' and Sailors' Pay Committee. Third Report.,Edward Carson,,
CAB,24,4,40,27-Dec-17,Memorandum,G 189,Forestry.,C Addison,,
CAB,24,4,41,21-Jan-18,Memorandum,G 190,Economic Offensive Committee.,Edward Carson,,
CAB,24,4,42,21-Jan-18,Memorandum,G 191,Report of the Committee on the Export of Printed Matter.,Edward Carson,,
CAB,24,4,43,24-Jan-18,Memorandum,G 192,Compulsory Rationing.,Rhondda,,
CAB,24,4,44,22-Jan-18,Memorandum,G 193,Soldiers' and Sailors' Pay Committee. Fourth and Final Report.,Edward Carson,,
CAB,24,4,45,11-Feb-18,Memorandum,G 194,Restriction of Imports. Further Report of the Committee.,Curzon,,
CAB,24,4,46,Feb-18,Memorandum,G 195,Coal Supplies in the United Kingdom.,George N Barnes,,
CAB,24,4,47,23-Feb-18,Memorandum,G 196,Government Economic Policy. Sir Edward Carson's Memorandum G 190. Interim Report No. 9 of a Committee appointed by the War Cabinet to consider the question of an Economic Offensive.,George N Barnes,,
CAB,24,4,48,23-Feb-18,Memorandum,G 197,Proposed Further Purchase of Wheat in Australia. Interim Report No. 10 of a Committee appointed by the War Cabinet to consider the question of an Economic Offensive.,George N Barnes,,
CAB,24,4,49,28-Feb-18,Memorandum,G 198,Proposed Scheme of State Requisition of Egyptian Cotton Crops. Interim Report No. 11 of a Committee appointed to Consider the Question of an Economic Offensive.,George N Barnes,,
CAB,24,4,50,1-Mar-18,Memorandum,G 199,Report by General Smuts on his Mission to Egypt.,J C Smuts,,
CAB,24,4,51,9-Mar-18,Memorandum,G 200,"The Output of Tanks. Minutes of a Meeting held at 10, Downing Street, S.W., on Friday, March 8, 1918, at 3.30 pm.",Secretary,,
CAB,24,5,1,2-Apr-18,Memorandum,G 201,"State Purchase and Control of the Liquor Trade. Reports of Liquor Trade Finance Committees. England and Wales, Scotland, Ireland.",Secretary,,
CAB,24,5,2,14-Mar-18,Memorandum,G 202,Imperial War Memorial and Museum. Report of Lord Crawford's Committee.,Secretary,,
