collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,
CAB,66,1,19,11-Sep-39,Memorandum,WP (39) 19,Air Policy.,Chiefs of Staff Committee,
CAB,66,1,20,10-Sep-39,Memorandum,WP (39) 20,Promoting Trade with Italy.,John Simon,
CAB,66,1,21,10-Sep-39,Memorandum,WP (39) 21,Report of the Land Forces Committee.,E E Bridges,
CAB,66,1,22,11-Sep-39,Memorandum,WP (39) 22,Roumanian Oil.,William Shepherd Morrison,
CAB,66,1,23,12-Sep-39,Memorandum,WP (39) 23,German Observance of International Law.,Chiefs of Staff Committee,
CAB,66,1,24,12-Sep-39,Memorandum,WP (39) 24,Staff Conversations with Turkey.,Chiefs of Staff Committee,
CAB,66,1,25,12-Sep-39,Memorandum,WP (39) 25,Position in the Balkans.,Halifax,
CAB,66,1,26,13-Sep-39,Memorandum,WP (39) 26,German Observance of International Law.,Chiefs of Staff Committee,
CAB,66,1,27,13-Sep-39,Memorandum,WP (39) 27,"Naval, Military and Air Co-operation by New Zealand. Note by the Secretary covering telegram from H.M.G. in New Zealand.",E E Bridges,
CAB,66,1,28,14-Sep-39,Memorandum,WP (39) 28,Air Operations and Intelligence. First Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,1,29,15-Sep-39,Memorandum,WP (39) 29,Army. First Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,1,30,15-Sep-39,Memorandum,WP (39) 30,"Weekly Resume (No. 2) of the Naval, Military and Air Situation from 12.0 Noon, 7th September to 12.0 Noon, 14th September, 1939.",Chiefs of Staff Committee,
CAB,66,1,31,16-Sep-39,Memorandum,WP (39) 31,Supply of Armaments to Poland.,Deputy Chiefs of Staff Sub-Committee,
CAB,66,1,32,16-Sep-39,Memorandum,WP (39) 32,Staff Conversations with Belgium.,Chiefs of Staff Committee,
CAB,66,1,33,18-Sep-39,Memorandum,WP (39) 33,The Possible Future Course of the War.,Chiefs of Staff,
CAB,66,1,34,16-Sep-39,Memorandum,WP (39) 34,The Neutrality of Eire.,Anthony Eden,
CAB,66,1,35,18-Sep-39,Memorandum,WP (39) 35,Air Operations and Intelligence. Second Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,1,36,17-Sep-39,Memorandum,WP (39) 36,Report of the First Lord of the Admiralty to the War Cabinet. No. 1.,Winston S Churchill,
CAB,66,1,37,19-Sep-39,Memorandum,WP (39) 37,Second Report by the Land Forces Committee.,Samuel Hoare,
CAB,66,1,38,20-Sep-39,Memorandum,WP (39) 38,"Record of the First Meeting of the Supreme War Council, held on 12th September, 1939.",E E Bridges,
CAB,66,1,39,20-Sep-39,Memorandum,WP (39) 39,Herr Hitler's Speech at Danzig on September 19.,Halifax,
CAB,66,1,40,20-Sep-39,Memorandum,WP (39) 40,Negotiations with Turkey for Anglo-Franco-Turkish Treaty.,Halifax,
CAB,66,1,41,21-Sep-39,Memorandum,WP (39) 41,Discussion on Second Report of the Land Forces Committee.,E E Bridges,
CAB,66,1,42,21-Sep-39,Memorandum,WP (39) 42,Report of the Land Forces Committee.,John Simon,
CAB,66,1,43,22-Sep-39,Memorandum,WP (39) 43,Air Operations in the Event of a German Invasion of the Low Countries.,Chiefs of Staff Committee,
CAB,66,1,44,21-Sep-39,Memorandum,WP (39) 44,Conversation with M. Daladier and General Gamelin.,Leslie Hore-Belisha and Hankey,
CAB,66,1,45,22-Sep-39,Memorandum,WP (39) 45,The Situation in the Far East.,Halifax,
CAB,66,1,46,22-Sep-39,Memorandum,WP (39) 46,"Weekly Resume (No. 3) of the Naval, Military and Air Situation from 12.0 Noon, 14th September to 12.0 Noon, 21st September, 1939.",Chiefs of Staff Committee,
CAB,66,1,47,25-Sep-39,Memorandum,WP (39) 47,"Record of Second Meeting of the Supreme War Council, held on 22nd September, 1939.",E E Bridges,
CAB,66,1,48,25-Sep-39,Memorandum,WP (39) 48,Discussion on Second Report of the Land Forces Committee (Cont'd).,E E Bridges,
CAB,66,1,49,25-Sep-39,Memorandum,WP (39) 49,The treatment of Enemy Aliens found on board Neutral Ships.,Halifax,
CAB,66,1,50,25-Sep-39,Memorandum,WP (39) 50,Air Operations and Intelligence. Third Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,2,1,25-Sep-39,Memorandum,WP (39) 51,Proposals by the President of the Royal Society for the Use of Scientific Knowledge.,Chatfield,
CAB,66,2,2,25-Sep-39,Memorandum,WP (39) 52,Notes on the General Situation.,Winston S Churchill,
CAB,66,2,3,26-Sep-39,Memorandum,WP (39) 53,Army. Second and Third Weekly Reports by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,2,4,24-Oct-39,Memorandum,WP (39) 54,Use in War of the International Telephone Services.,Chatfield,
CAB,66,2,5,21-Sep-39,Memorandum,WP (39) 55,Question of Russian threat to India.,Zetland,
CAB,66,2,6,28-Sep-39,Memorandum,WP (39) 56,Sino-Japanese Hostilities.,E E Bridges,
CAB,66,2,7,29-Sep-39,Memorandum,WP (39) 57,Norway and Sweden.,Winston S Churchill,
CAB,66,2,8,11-Oct-39,Memorandum,WP (39) 58,Chemical Warfare.,L Hore-Belisha and Kingsley Wood,
CAB,66,2,9,29-Sep-39,Memorandum,WP (39) 59,Russian Threat to India.,Chiefs of Staff,
CAB,66,2,10,29-Sep-39,Memorandum,WP (39) 60,"Weekly Resume No. 4 of the Naval, Military and Air Situation (12 Noon, 21st September to 12 Noon, 28th September).",Chiefs of Staff,
CAB,66,2,11,2-Oct-39,Memorandum,WP (39) 61,Scale of Reserves in the Middle East.,Chiefs of Staff,
CAB,66,2,12,1-Oct-39,Memorandum,WP (39) 62,"Ministry of Information. Draft Statement to be made by the Prime Minister in House of Commons on Monday, 2nd October, 1939.",E E Bridges,
CAB,66,2,13,1-Oct-39,Memorandum,WP (39) 63,Results of Treaty Negotiations with Turkey.,Halifax,
CAB,66,2,14,2-Oct-39,Memorandum,WP (39) 64,Air Operations and Intelligence. Fourth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,2,15,2-Oct-39,Memorandum,WP (39) 65,General Gamelin's observations on the Chiefs of Staff appreciation of the possible course of the War: Comments by the Chiefs of Staff thereon.,Chiefs of Staff,
CAB,66,2,16,3-Oct-39,Memorandum,WP (39) 66,Interception and Examination of Mails on Neutral Vessels.,Chatfield,
CAB,66,2,17,30-Sep-39,Memorandum,WP (39) 67,Action by German destroyers in removing from a Swedish ship rescued British Seamen.,Winston S Churchill,
CAB,66,2,18,2-Oct-39,Memorandum,WP (39) 68,Ministry of Information. Revised draft statement to be made by the Prime Minister in the House of Commons.,E E Bridges,
CAB,66,2,19,3-Oct-39,Memorandum,WP (39) 69,Army. Fourth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,2,20,3-Oct-39,Memorandum,WP (39) 70,"Military Strategy to be adopted in the near East including the Balkans. Report by the British and French Permanent Military Representatives, Supreme War Council.",E E Bridges,
CAB,66,2,21,5-Oct-39,Memorandum,WP (39) 71,Views of General Smuts on Possible German Peace Offer.,Anthony Eden,
CAB,66,2,22,6-Oct-39,Memorandum,WP (39) 72,Holland and Belgium: Measures to be taken in the Event of an Invasion by Germany.,Chiefs of Staff,
CAB,66,2,23,6-Oct-39,Memorandum,WP (39) 73,"Weekly Resume No. 5 of the Naval, Military and Air Situation (12 Noon, 28th September to 12 Noon, 5th October).",Chiefs of Staff,
CAB,66,2,24,9-Oct-39,Memorandum,WP (39) 74,Appreciation by the Chiefs of Staff Committee of the situation created by the Russo-German Agreement.,E E Bridges,
CAB,66,2,25,8-Oct-39,Memorandum,WP (39) 75,Tientsin Garrison.,Leslie Hore-Belisha,
CAB,66,2,26,8-Oct-39,Memorandum,WP (39) 76,Negotiations with the Turkish Mission.,Chiefs of Staff,
CAB,66,2,27,8-Oct-39,Memorandum,WP (39) 77,Herr Hitler's Speech. Draft Statement.,Halifax,
CAB,66,2,28,9-Oct-39,Memorandum,WP (39) 78,Air Operations and Intelligence. Fifth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,2,29,9-Oct-39,Memorandum,WP (39) 79,Herr Hitler's Speech.,E E Bridges,
CAB,66,2,30,10-Oct-39,Memorandum,WP (39) 80,Army. Fifth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,2,31,10-Oct-39,Memorandum,WP (39) 81,Herr Hitler's Speech.,E E Bridges,
CAB,66,2,32,9-Oct-39,Memorandum,WP (39) 82,The effect of the dropping of Leaflets in Germany.,Halifax,
CAB,66,2,33,11-Oct-39,Memorandum,WP (39) 83,Appreciation by the Chiefs of Staff of the situation created by the Russo-German Agreement.,E E Bridges,
CAB,66,2,34,11-Oct-39,Memorandum,WP (39) 84,Compensation for War Damage to Fixed Property. Draft White Paper.,John Simon,
CAB,66,2,35,17-Oct-39,Memorandum,WP (39) 85,Possible Detente with Italy in the Mediterranean.,Chiefs of Staff,
CAB,66,2,36,20-Oct-39,Memorandum,WP (39) 86,Air Policy.,Chiefs of Staff,
CAB,66,2,37,12-Oct-39,Memorandum,WP (39) 87,Air Operations in the Event of a German Invasion of the Low Countries.,Chiefs of Staff,
CAB,66,2,38,14-Oct-39,Memorandum,WP (39) 88,"Weekly Resume No. 6 of the Naval, Military and Air Situation (12 Noon, 5th October to 12 Noon, 12th October, 1939).",Chiefs of Staff,
CAB,66,2,39,16-Oct-39,Memorandum,WP (39) 89,Air Operations and Intelligence. Sixth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,2,40,16-Oct-39,Memorandum,WP (39) 90,Germany: Stocks and Supplies of Petroleum Products.,Chiefs of Staff,
CAB,66,2,41,16-Oct-39,Memorandum,WP (39) 91,Army. Sixth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,2,42,18-Oct-39,Memorandum,WP (39) 92,Possible Detente with Italy in the Mediterranean.,Winston S Churchill,
CAB,66,2,43,18-Oct-39,Memorandum,WP (39) 93,The Need for Berehaven.,Winston S Churchill,
CAB,66,2,44,21-Oct-39,Memorandum,WP (39) 94,"Weekly Resume No. 7 of the Naval, Military and Air Situation (12 Noon, 12th October to 12 Noon, 19th October, 1939).",Chiefs of Staff,
CAB,66,2,45,23-Oct-39,Memorandum,WP (39) 95,Belgium and Holland: Measures to be taken in the Event of an Invasion by Germany.,Hankey,
CAB,66,2,46,23-Oct-39,Memorandum,WP (39) 96,Air Operations and Intelligence. Seventh Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,2,47,27-Oct-39,Memorandum,WP (39) 97,Use of Berehaven. Letter from Sir John Maffey.,Anthony Eden,
CAB,66,2,48,23-Oct-39,Memorandum,WP (39) 98,The Need for Berehaven.,Anthony Eden,
CAB,66,2,49,23-Oct-39,Memorandum,WP (39) 99,Army. Seventh Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,2,50,27-Oct-39,Memorandum,WP (39) 100,Correspondence with General Gamelin.,Leslie Hore-Belisha,
CAB,66,3,1,28-Oct-39,Memorandum,WP (39) 101,"Weekly Resume No. 8 of the Naval, Military and Air Situation (12 Noon, 19th October to 12 Noon, 26th October, 1939).",Chiefs of Staff,
CAB,66,3,2,28-Oct-39,Memorandum,WP (39) 102,"The Air Strengths of Great Britain, France and Germany.",Kingsley Wood,
CAB,66,3,3,28-Oct-39,Memorandum,WP (39) 103,Visit of Dominion Ministers. Review of the Strategical Situation.,Chiefs of Staff,
CAB,66,3,4,29-Oct-39,Memorandum,WP (39) 104,Military Assistance to Turkey.,Chatfield,
CAB,66,3,5,30-Oct-39,Memorandum,WP (39) 105,Air Operations and Intelligence. 8th Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,6,30-Oct-39,Memorandum,WP (39) 106,Army. Eighth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,7,31-Oct-39,Memorandum,WP (39) 107,Soviet aggression against Finland or other Scandinavian Countries.,Chiefs of Staff,
CAB,66,3,8,2-Nov-39,Memorandum,WP (39) 108,Military Implications of a German Invasion of Holland.,Chiefs of Staff,
CAB,66,3,9,1-Nov-39,Memorandum,WP (39) 109,Military Assistance to Turkey.,Winston S Churchill,
CAB,66,3,10,2-Nov-39,Memorandum,WP (39) 110,Air Requirements for the Army.,Samuel Hoare,
CAB,66,3,11,2-Nov-39,Memorandum,WP (39) 111,Air Requirements of the Army.,Leslie Hore-Belisha,
CAB,66,3,12,3-Nov-39,Memorandum,WP (39) 112,Air Requirements of the Army.,Kingsley Wood,
CAB,66,3,13,4-Nov-39,Memorandum,WP (39) 113,Possibility of Sea-Borne and Air-Borne attack on Great Britain.,Leslie Hore-Belisha,
CAB,66,3,14,4-Nov-39,Memorandum,WP (39) 114,"Weekly Resume No. 9 of the Naval, Military and Air Situation (12 noon, 26th October to 12 noon, 2nd November, 1939).",Chiefs of Staff,
CAB,66,3,15,6-Nov-39,Memorandum,WP (39) 115,Air Operations and Intelligence. Ninth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,16,3-Nov-39,Memorandum,WP (39) 116,Statement by the First Lord to the French Admiralty.,Winston S Churchill,
CAB,66,3,17,6-Nov-39,Memorandum,WP (39) 117,Army. Ninth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,18,11-Nov-39,Memorandum,WP (39) 118,Air Policy.,Chiefs of Staff,
CAB,66,3,19,6-Nov-39,Memorandum,WP (39) 119,The effect of the dropping of Leaflets in Germany.,Halifax,
CAB,66,3,20,11-Nov-39,Memorandum,WP (39) 120,"Weekly Resume No. 10 of the Naval, Military and Air Situation (12 noon, 2nd November, to 12 noon, 9th November, 1939).",Chiefs of Staff,
CAB,66,3,21,13-Nov-39,Memorandum,WP (39) 121,Air Operations and Intelligence. Tenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,22,13-Nov-39,Memorandum,WP (39) 122,"Air Policy in the event of a German invasion of Holland, if Belgium does not call for assistance.",Chiefs of Staff,
CAB,66,3,23,13-Nov-39,Memorandum,WP (39) 123,German Invasion of Holland.,Chiefs of Staff,
CAB,66,3,24,13-Nov-39,Memorandum,WP (39) 124,Army. Tenth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,25,17-Nov-39,Memorandum,WP (39) 125,Australian Naval Defence. (Winter 1939).,Winston S Churchill,
CAB,66,3,26,19-Nov-39,Memorandum,WP (39) 126,The Northern Barrage.,Winston S Churchill,
CAB,66,3,27,2-Dec-39,Memorandum,WP (39) 127,Air Requirements of the Army in France.,Chatfield,
CAB,66,3,28,18-Nov-39,Memorandum,WP (39) 128,Formation and Equipment of Polish Forces.,Chatfield,
CAB,66,3,29,18-Nov-39,Memorandum,WP (39) 129,"Weekly Resume No. 11 of the Naval, Military and Air Situation (12 noon, 9th November to 12 noon, 16th November, 1939).",Chiefs of Staff,
CAB,66,3,30,20-Nov-39,Memorandum,WP (39) 130,Air Operations and Intelligence. Eleventh Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,31,21-Nov-39,Memorandum,WP (39) 131,Intelligence Organisation in Eire.,Winston S Churchill,
CAB,66,3,32,21-Nov-39,Memorandum,WP (39) 132,Army. Eleventh Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,33,21-Nov-39,Memorandum,WP (39) 133,Assistance to the Scandinavian Countries in the event of Russian and/or German Aggression.,Chiefs of Staff,
CAB,66,3,34,20-Nov-39,Memorandum,WP (39) 134,German Oil Supplies.,Hankey and Chatfield,
CAB,66,3,35,21-Nov-39,Memorandum,WP (39) 135,Australian and New Zealand Naval Defence. (Winter 1939).,Winston S Churchill,
CAB,66,3,36,18-Nov-39,Memorandum,WP (39) 136,German Invasion of Holland.,Chiefs of Staff,
CAB,66,3,37,25-Nov-39,Memorandum,WP (39) 137,"Weekly Resume No. 12 of the Naval, Military and Air Situation (12 noon, 16th November, to 12 noon, 23rd November, 1939).",Chiefs of Staff,
CAB,66,3,38,25-Nov-39,Memorandum,WP (39) 138,Diversion of Shipping.,Chiefs of Staff,
CAB,66,3,39,27-Nov-39,Memorandum,WP (39) 139,Air Operations and Intelligence. Twelfth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,40,27-Nov-39,Memorandum,WP (39) 140,Army. Twelfth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,41,29-Nov-39,Memorandum,WP (39) 141,State of Equipment and Maintenance Position for the First Ten Divisions.,Leslie Hore-Belisha,
CAB,66,3,42,28-Nov-39,Memorandum,WP (39) 142,Strategical Situation in South East Europe: General Weygand's Activities.,Chiefs of Staff,
CAB,66,3,43,28-Nov-39,Memorandum,WP (39) 143,The Northern Barrage.,Halifax,
CAB,66,3,44,29-Nov-39,Memorandum,WP (39) 144,Pursuit of German Aircraft entering Belgium from France.,Halifax and Kingsley Wood,
CAB,66,3,45,2-Dec-39,Memorandum,WP (39) 145,"Weekly Resume No. 13 of the Naval, Military and Air Situation (12 noon, 23rd November, 1939 to 12 noon, 30th November, 1939.).",Chiefs of Staff,
CAB,66,3,46,4-Dec-39,Memorandum,WP (39) 146,Air Operations and Intelligence. Thirteenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,3,47,4-Dec-39,Memorandum,WP (39) 147,Army. Thirteenth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,3,48,5-Dec-39,Memorandum,WP (39) 148,Review of Military Policy in the Middle East.,Chiefs of Staff,
CAB,66,3,49,5-Dec-39,Memorandum,WP (39) 149,Policy in the Balkans and Middle East.,Chiefs of Staff,
CAB,66,3,50,6-Dec-39,Memorandum,WP (39) 150,The Soviet threat to British interests in the Middle East.,Halifax,
CAB,66,4,1,9-Dec-39,Memorandum,WP (39) 151,"Weekly Resume (No.14) of the Naval, Military and Air Situation (12 noon 30th November, 1939, to 12 noon 7th December, 1939).",Chiefs of Staff,
CAB,66,4,2,9-Dec-39,Memorandum,WP (39) 152,"The Present Sino-Japanese Military Situation, December 1939.",Chiefs of Staff,
CAB,66,4,3,9-Dec-39,Memorandum,WP (39) 153,The Loss of H.M.S. Royal Oak and the Defences of Scapa.,Winston S Churchill,
CAB,66,4,4,11-Dec-39,Memorandum,WP (39) 154,Air Operations and Intelligence. Fourteenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,4,5,11-Dec-39,Memorandum,WP (39) 155,The Vatican: Suggestion for Christmas Truce.,Chiefs of Staff,
CAB,66,4,6,12-Dec-39,Memorandum,WP (39) 156,Army. Fourteenth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,4,7,12-Dec-39,Memorandum,WP (39) 157,The Rawalpindi.,Winston S Churchill,
CAB,66,4,8,13-Dec-39,Memorandum,WP (39) 158,Small Arms Ammunition.,Chiefs of Staff,
CAB,66,4,9,13-Dec-39,Memorandum,WP (39) 159,"The Balkan Problem. Record of a Meeting held at the Headquarters of General Gamelin on Monday, 11th December, 1939.",E E Bridges,
CAB,66,4,10,13-Dec-39,Memorandum,WP (39) 160,Balkan Policy. Conversations with the French High Command.,Chiefs of Staff,
CAB,66,4,11,13-Dec-39,Memorandum,WP (39) 161,Relations between Germany and the U.S.S.R.,Halifax,
CAB,66,4,12,16-Dec-39,Memorandum,WP (39) 162,Norway - Iron-ore Traffic.,Winston S Churchill,
CAB,66,4,13,16-Dec-39,Memorandum,WP (39) 163,"Weekly Resume (No.15) of the Naval, Military and Air Situation (12 noon, 7th December, 1939, to 12 noon, 14th December, 1939).",Chiefs of Staff,
CAB,66,4,14,15-Dec-39,Memorandum,WP (39) 164,The situation in Scandinavia and the possible results of the Russian invasion of Finland.,Halifax,
CAB,66,4,15,16-Dec-39,Memorandum,WP (39) 165,Situation in the Balkans.,Halifax,
CAB,66,4,16,18-Dec-39,Memorandum,WP (39) 166,Air Operations and Intelligence. Fifteenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,4,17,18-Dec-39,Memorandum,WP (39) 167,Army. Fifteenth Weekly Report by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,4,18,20-Dec-39,Memorandum,WP (39) 168,The German Iron-Ore Traffic.,Halifax,
CAB,66,4,19,20-Dec-39,Memorandum,WP (39) 169,Stoppage of the Export of Swedish Iron Ore to Germany.,Chiefs of Staff,
CAB,66,4,20,21-Dec-39,Memorandum,WP (39) 170,Assistance for Finland.,Halifax,
CAB,66,4,21,23-Dec-39,Memorandum,WP (39) 171,"Weekly Resume (No.16) of the Naval, Military and Air Situation (12 noon 14th December, 1939, to 12 noon 21st December, 1939).",Chiefs of Staff,
CAB,66,4,22,24-Dec-39,Memorandum,WP (39) 172,German &amp, Russian designs on Scandinavia.,Winston S Churchill
CAB,66,4,23,26-Dec-39,Memorandum,WP (39) 173,Assistance to Finland and the Scandinavian Countries.,Chiefs of Staff,
CAB,66,4,24,26-Dec-39,Memorandum,WP (39) 174,The Situation in Scandinavia: Proposed Communication to the Norwegian and Swedish Governments.,Halifax,
CAB,66,4,25,26-Dec-39,Memorandum,WP (39) 175,Scandinavia.,Chiefs of Staff,
CAB,66,4,26,28-Dec-39,Memorandum,WP (39) 176,Proposed Assurance to Iceland.,Halifax,
CAB,66,4,27,29-Dec-39,Memorandum,WP (39) 177,Possibility of increasing the number of A.A. Guns to be supplied to the British Army in France at the expense of Air Defence of Great Britain.,Chiefs of Staff,
CAB,66,4,28,30-Dec-39,Memorandum,WP (39) 178,"Weekly Resume (No. 17) of the Naval, Military and Air Situation (12 Noon 21st December, 1939, to 12 Noon 28th December, 1939).",Chiefs of Staff,
CAB,66,4,29,31-Dec-39,Memorandum,WP (39) 179,Military implications of a policy aimed at stopping the export of Swedish Iron Ore to Germany.,Chiefs of Staff,
CAB,66,4,30,31-Dec-39,Memorandum,WP (39) 180,Stoppage of the export of Iron Ore to Germany: Balance of Advantage between the Major and Minor Projects.,Chiefs of Staff,
CAB,66,4,31,1-Jan-40,Memorandum,WP (40) 1,Air Operations and Intelligence. Sixteenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,4,32,1-Jan-40,Memorandum,WP (40) 2,Air Operations and Intelligence. Seventeenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,4,33,31-Dec-39,Memorandum,WP (40) 3,Swedish Iron Ore.,Winston S Churchill,
CAB,66,4,34,2-Jan-40,Memorandum,WP (40) 4,Army. Sixteenth and Seventeenth Weekly Reports by the Secretary of State for War.,Leslie Hore-Belisha,
CAB,66,4,35,5-Jan-40,Memorandum,WP (40) 5,Scandinavia.,Chiefs of Staff,
CAB,66,4,36,4-Jan-40,Memorandum,WP (40) 6,Conditions in Germany and certain Peace moves by Dr. Schacht.,Halifax,
CAB,66,4,37,5-Jan-40,Memorandum,WP (40) 7,"The Air Strengths of Great Britain, France and Germany.",Kingsley Wood,
CAB,66,4,38,6-Jan-40,Memorandum,WP (40) 8,"Weekly Resume No.18 of the Naval, Military and Air Situation (12 Noon, 28th December, 1939 to 12 Noon, 4th January, 1940).",Chiefs of Staff,
CAB,66,4,39,8-Jan-40,Memorandum,WP (40) 9,Air Operations and Intelligence. Eighteenth Weekly Report by the Secretaryof State for Air.,Kingsley Wood,
CAB,66,4,40,9-Jan-40,Memorandum,WP (40) 10,Germany's supply of Iron Ore from Sweden.,Halifax,
CAB,66,4,41,9-Jan-40,Memorandum,WP (40) 11,Stoppage of all supplies of Iron Ore to Germany from the Northern Swedish Fields.,Ronald H Cross,
CAB,66,4,42,9-Jan-40,Memorandum,WP (40) 12,Army. Eighteenth Weekly Report.,War Office,
CAB,66,4,43,10-Jan-40,Memorandum,WP (40) 13,Despatch of Forces to Norwegian Ports.,E E Bridges,
CAB,66,4,44,11-Jan-40,Memorandum,WP (40) 14,Assistance to Finland.,Chatfield,
CAB,66,4,45,11-Jan-40,Memorandum,WP (40) 15,Possible capture of the Northern Swedish Ore Fields by German Parachute Troops.,Chiefs of Staff,
CAB,66,4,46,11-Jan-40,Memorandum,WP (40) 16,Method of describing days in Plans and Orders for Operations.,Chiefs of Staff,
CAB,66,4,47,13-Jan-40,Memorandum,WP (40) 17,"Weekly Resume (No.19) of the Naval, Military and Air Situation (12 noon 4th January, 1940, to 12 noon 11th January, 1940).",Chiefs of Staff,
CAB,66,4,48,13-Jan-40,Memorandum,WP (40) 18,Military Policy in the Middle East.,Chatfield,
CAB,66,4,49,15-Jan-40,Memorandum,WP (40) 19,Air Operations and Intelligence. Nineteenth Weekly Report by the Secretary of State for Air.,Kingsley Wood,
CAB,66,4,50,16-Jan-40,Memorandum,WP (40) 20,Army. Nineteenth Weekly Report.,War Office,
CAB,66,5,1,23-Jan-40,Memorandum,WP (40) 21,Scapa Flow.,Winston S Churchill,
CAB,66,5,2,20-Jan-40,Memorandum,WP (40) 22,"Weekly Resume (No. 20) of the Naval, Military and Air Situation (12 noon 11th January, 1940 to 12 noon 18th January, 1940).",Chiefs of Staff,
