collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author
CAB,68,1,21,26-Sep-39,Memorandum,WP (R) (39) 21,"Oil Position. Third Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 24th September, 1939.",Geoffrey Lloyd
CAB,68,1,22,28-Sep-39,Memorandum,WP (R) (39) 22,"Home Security Report No. 3. Third Weekly Report submitted by the Minister of Home Security covering the period from noon 15th September to midnight 24th September, 1939.",John Anderson
CAB,68,1,23,27-Sep-39,Memorandum,WP (R) (39) 23,Supply and Production. First Monthly Report submitted by the Minister of Supply covering the period up to 8th September.,E Leslie Burgin
CAB,68,1,24,29-Sep-39,Memorandum,WP (R) (39) 24,Report on Propaganda in Enemy Countries.,Macmillan
CAB,68,1,25,3-Oct-39,Memorandum,WP (R) (39) 25,Supply and Production. 1st Monthly Report submitted by the First Lord of the Admiralty.,Winston S Churchill
CAB,68,1,26,3-Oct-39,Memorandum,WP (R) (39) 26,Supply and Production. Civil Defence Report No. 1.,John Anderson
CAB,68,1,27,2-Oct-39,Memorandum,WP (R) (39) 27,"Second Report on Coal position covering the period ending 30th September, 1939.",Geoffrey Lloyd
CAB,68,1,28,3-Oct-39,Memorandum,WP (R) (39) 28,"Oil Position. Fourth Weekly Report submitted by the Secretary for Mines for the period up to midnight on the 1st October, 1939.",Geoffrey Lloyd
CAB,68,1,29,2-Oct-39,Memorandum,WP (R) (39) 29,"Economic Warfare. Third Weekly Report submitted by the Minister of Economic Warfare covering the period Sept. 25th to Oct. 1st, 1939.",Ronald H Cross
CAB,68,1,30,3-Oct-39,Memorandum,WP (R) (39) 30,Economic Warfare. Second Monthly Report submitted by the Minister of Economic Warfare covering the period 12th Sept. - 30th Sept. 1939.,Ronald H Cross
CAB,68,1,31,5-Oct-39,Memorandum,WP (R) (39) 31,"The Colonial Empire. Second Monthly Report submitted by the Secretary of State for the Colonies, covering the period September 9th - 30th, 1939.",Malcolm MacDonald
CAB,68,1,32,2-Oct-39,Memorandum,WP (R) (39) 32,"India. Second Fortnightly Report submitted by the Secretary of State for India covering the period 12th to 30th September, 1939.",Zetland
CAB,68,1,33,2-Oct-39,Memorandum,WP (R) (39) 33,"Burma. Second Periodical Report submitted by the Secretary of State for Burma, covering the period 12th-30th September, 1939.",Zetland
CAB,68,1,34,3-Oct-39,Memorandum,WP (R) (39) 34,Survey of German Propaganda. Second Forthnightly Report submitted by the Minister of Information covering the period September 15th to 30th.,Macmillan
CAB,68,1,35,3-Oct-39,Memorandum,WP (R) (39) 35,"Shipping. Weekly Report covering the period ended midnight, Sunday/Monday, 1st/2nd October, 1939.",O F G Stanley
CAB,68,1,36,6-Oct-39,Memorandum,WP (R) (39) 36,"Home Security Report No. 4. Fourth Weekly Report submitted by the Minister of Home Security covering the period from Midnight 24th September to Midnight 1st October, 1939.",John Anderson
CAB,68,1,37,6-Oct-39,Memorandum,WP (R) (39) 37,"Labour and National Service Report No. 2. Second Report submitted by the Minister of Labour and National Service covering the period 9th September - 30th September, 1939.",Ernest Brown
CAB,68,1,38,10-Oct-39,Memorandum,WP (R) (39) 38,Economic Warfare. Fourth Weekly Report submitted by the Minister of Economic Warfare covering the period October 2nd - October 8th.,Ronald H Cross
CAB,68,1,39,10-Oct-39,Memorandum,WP (R) (39) 39,Propaganda in Enemy Countries. Second Fortnightly Report submitted by Minister of Information covering the period 25th September to 8th October 1939.,Macmillan
CAB,68,1,40,10-Oct-39,Memorandum,WP (R) (39) 40,"Shipping. Weekly Report covering the Period ended Midnight Sunday/Monday, 8th/9th October, 1939.",O F G Stanley
CAB,68,2,1,15-Oct-39,Memorandum,WP (R) (39) 41,"Supply and Production. Second Monthly Report submitted by the Minister of Supply covering the period up to 30th September, 1939.",E Leslie Burgin
CAB,68,2,2,10-Oct-39,Memorandum,WP (R) (39) 42,"Oil Position. Fifth Weekly Report by the Secretary for Mines, for Period to Midnight 8-9th October 1939.",Geoffrey Lloyd
CAB,68,2,3,10-Oct-39,Memorandum,WP (R) (39) 43,Supply and Production. Second Report by the Air Ministry.,Kingsley Wood
CAB,68,2,4,17-Oct-39,Memorandum,WP (R) (39) 44,"Home Front Report No.1. First Report submitted by the Lord Privy Seal covering the period from the outbreak of war to 14th October, 1939.",Samuel Hoare
CAB,68,2,5,17-Oct-39,Memorandum,WP (R) (39) 45,Economic Warfare. Fifth Weekly Report submitted by the Minister of Economic Warfare covering the period October 9th - October 15th.,Ronald H Cross
CAB,68,2,6,17-Oct-39,Memorandum,WP (R) (39) 46,"Shipping. Weekly Report covering the period ended midnight Sunday/Monday 15th/16th October, 1939.",John Gilmour
CAB,68,2,7,17-Oct-39,Memorandum,WP (R) (39) 47,"Oil Position. Sixth Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 15th October, 1939.",Geoffrey Lloyd
CAB,68,2,8,17-Oct-39,Memorandum,WP (R) (39) 48,"India. Third Fortnightly Report submitted by the Secretary of State for India covering the period 1st to 14th October, 1939.",Zetland
CAB,68,2,9,17-Oct-39,Memorandum,WP (R) (39) 49,"Burma. Third Periodical Report submitted by the Secretary of State for Burma, covering the period 1st to 14th October, 1939.",Zetland
CAB,68,2,10,17-Oct-39,Memorandum,WP (R) (39) 50,Action taken by the Dominions. Second Report submitted by the Secretary of State for Dominion Affairs.,Anthony Eden
CAB,68,2,11,17-Oct-39,Memorandum,WP (R) (39) 51,"Coal Position. Third Fortnightly Report submitted by the Secretary for Mines covering the period 1st to 14th October, 1939.",Geoffrey Lloyd
CAB,68,2,12,18-Oct-39,Memorandum,WP (R) (39) 52,Survey of German Propaganda. Third Fortnightly Report submitted by the Minister of Information covering the period October 1st to 15th.,Macmillan
CAB,68,2,13,19-Oct-39,Memorandum,WP (R) (39) 53,"Civil Defence Report No.5. Fifth Report submitted by the Minister of Home Security covering the period from midnight 1st October to midnight 15th October, 1939.",John Anderson
CAB,68,2,14,20-Oct-39,Memorandum,WP (R) (39) 54,"Labour and National Service Report No: 3. Third Report submitted by the Minister of Labour and National Service covering the period 1st October - 15th October, 1939.",Ernest Brown
CAB,68,2,15,23-Oct-39,Memorandum,WP (R) (39) 55,Economic Warfare. Sixth Weekly Report submitted by the Minister of Economic Warfare covering the period October 17th - October 22nd.,Ronald H Cross
CAB,68,2,16,Oct-39,Memorandum,WP (R) (39) 56,"Shipping. Seventh Weekly Report covering the period ended midnight Sunday/Monday 22nd/23rd October, 1939.",John Gilmour
CAB,68,2,17,24-Oct-39,Memorandum,WP (R) (39) 57,"Oil Position. Seventh Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 22nd October, 1939.",Geoffrey Lloyd
CAB,68,2,18,26-Oct-39,Memorandum,WP (R) (39) 58,Publicity in Enemy Countries.,Halifax
CAB,68,2,19,31-Oct-39,Memorandum,WP (R) (39) 59,"Economic Warfare. Seventh Weekly Report submitted by the Minister of Economic Warfare covering the period, October 25th - October 31st.",Ronald H Cross
CAB,68,2,20,31-Oct-39,Memorandum,WP (R) (39) 60,"Shipping. Eighth Weekly Report covering the period ended midnight Sunday/Monday 29th/30th October, 1939.",John Gilmour
CAB,68,2,21,31-Oct-39,Memorandum,WP (R) (39) 61,"Oil Position. Eighth Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 29th October, 1939.",Geoffrey Lloyd
CAB,68,2,22,2-Nov-39,Memorandum,WP (R) (39) 62,"Coal Position. Fourth Fortnightly Report submitted by the Secretary for Mines covering the period 15th to 21st October, 1939.",Geoffrey Lloyd
CAB,68,2,23,2-Nov-39,Memorandum,WP (R) (39) 63,"Civil Defence Report No. 6. Sixth Report submitted by the Minister of Home Security covering the period from midnight 15th October to midnight 29th October, 1939.",John Anderson
CAB,68,2,24,2-Nov-39,Memorandum,WP (R) (39) 64,Economic Warfare. Third Monthly Report on the situation in Germany submitted by the Minister of Economic Warfare covering the period October 1st - October 31st.,Ronald H Cross
CAB,68,2,25,2-Nov-39,Memorandum,WP (R) (39) 65,"Propaganda: Appreciation of Action taken and its Effect. Second Report submitted by the Minister of Information, covering the period 17 September to 29 October.",Macmillan
CAB,68,2,26,1-Nov-39,Memorandum,WP (R) (39) 66,"India. Fourth Fortnightly Report submitted by the Secretary of State for India, covering the period 15th to 31st October, 1939.",Zetland
CAB,68,2,27,1-Nov-39,Memorandum,WP (R) (39) 67,"Burma. Fourth Periodical Report submitted by the Secretary of State for Burma, covering the period 15th to 31st October, 1939.",Zetland
CAB,68,2,28,Nov-39,Memorandum,WP (R) (39) 68,"The Colonial Empire. Third Monthly Report submitted by the Secretary of State for the Colonies, covering the period October 1st - 31st, 1939.",Malcolm MacDonald
CAB,68,2,29,8-Nov-39,Memorandum,WP (R) (39) 69,Food Situation of the United Kingdom. Second Report for period 3.10.39 to 2.11.39.,William Shepherd Morrison
CAB,68,2,30,3-Nov-39,Memorandum,WP (R) (39) 70,"Survey of German Propaganda. The Fourth Fortnightly Report submitted by the Minister of Information covering the period October 15th to 31st, 1939.",Macmillan
CAB,68,2,31,6-Nov-39,Memorandum,WP (R) (39) 71,"Labour and National Service Report No. 4. Fourth Report submitted by the Minister of Labour and National Service covering the Period 16th October - 31st October, 1939.",Ernest Brown
CAB,68,2,32,Nov-39,Memorandum,WP (R) (39) 72,"Supply and Production. Civil Defence Report No. 2. Report by the Minister of Home Security for October, 1939.",John Anderson
CAB,68,2,33,7-Nov-39,Memorandum,WP (R) (39) 73,Economic Warfare. Eighth Weekly Report submitted by the Minister of Economic Warfare covering the period October 31st - November 6th.,Ronald H Cross
CAB,68,2,34,7-Nov-39,Memorandum,WP (R) (39) 74,"Shipping. Ninth Weekly Report covering the period ended midnight Sunday/Monday 5th/6th November, 1939.",John Gilmour
CAB,68,2,35,8-Nov-39,Memorandum,WP (R) (39) 75,"War Office Progress Report (September and October, 1939).",L Hore-Belisha
CAB,68,2,36,7-Nov-39,Memorandum,WP (R) (39) 76,"Oil Position. Ninth Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 5th November, 1939.",Geoffrey Lloyd
CAB,68,2,37,Oct-39,Memorandum,WP (R) (39) 77,"Supply and Production. 2nd Monthly Report submitted by the First Lord of the Admiralty, covering the month of October, 1939.",Winston S Churchill
CAB,68,2,38,10-Nov-39,Memorandum,WP (R) (39) 78,Supply and Production. Third Report by the Air Ministry.,Kingsley Wood
CAB,68,2,39,13-Nov-39,Memorandum,WP (R) (39) 79,Supply and Production. Third Monthly Report by the Minister of Supply covering the Month of October.,E Leslie Burgin
CAB,68,2,40,Nov-39,Memorandum,WP (R) (39) 80,Economic Warfare. Ninth Weekly Report submitted by the Minister of Economic Warfare covering the period November 6th - November 12th.,Ronald H Cross
CAB,68,2,41,14-Nov-39,Memorandum,WP (R) (39) 81,"Shipping. Tenth Weekly Report covering the period ended midnight Sunday/Monday 12th/13th November, 1939.",John Gilmour
CAB,68,2,42,14-Nov-39,Memorandum,WP (R) (39) 82,"Oil Position. Tenth Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 12th November, 1939.",Geoffrey Lloyd
CAB,68,2,43,15-Nov-39,Memorandum,WP (R) (39) 83,"Propaganda: Appreciation of Action taken and its Effect. Third Fortnighly Report submitted by the Minister of Information, covering the period 30th October to 12th November, 1939.",Macmillan
CAB,68,2,44,17-Nov-39,Memorandum,WP (R) (39) 84,"Civil Defence Report No. 7. Seventh Report submitted by the Minister of Home Security covering the period from midnight 29th October to midnight 12th November, 1939.",John Anderson
CAB,68,2,45,16-Nov-39,Memorandum,WP (R) (39) 85,"India. Fifth Fortnightly Report submitted by the Secretary of State for India covering the period 1st to 15th November, 1939.",Zetland
CAB,68,3,1,16-Nov-39,Memorandum,WP (R) (39) 86,"Burma. Fifth Fortnightly Report submitted by the Secretary of State for Burma, covering the period 1st to 15th November, 1939.",Zetland
CAB,68,3,2,16-Nov-39,Memorandum,WP (R) (39) 87,"Survey of German Propaganda. Fifth Fortnightly Report submitted by the Minister of Information covering the period 1st to 15th November, 1939.",Macmillan
CAB,68,3,3,17-Nov-39,Memorandum,WP (R) (39) 88,"Coal Position. Fifth Fortnightly Report submitted by the Secretary for Mines covering the Period 1st to 14th November, 1939.",Geoffrey Lloyd
CAB,68,3,4,Nov-39,Memorandum,WP (R) (39) 89,Economic Warfare. Tenth Weekly Report submitted by the Minister of Economic Warfare covering the period November 12th - November 19th.,Ronald H Cross
CAB,68,3,5,21-Nov-39,Memorandum,WP (R) (39) 90,"Labour and National Service Report No. 5. Fifth Report submitted by the Minister of Labour and National Service covering the Period 1st November - 15th November, 1939.",Ernest Brown
CAB,68,3,6,21-Nov-39,Memorandum,WP (R) (39) 91,"Shipping. Eleventh Weekly Report covering the Period ended Midnight Sunday/Monday 19th/20th November, 1939.",John Gilmour
CAB,68,3,7,21-Nov-39,Memorandum,WP (R) (39) 92,"Oil Position. Eleventh Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 19th November, 1939.",Geoffrey Lloyd
CAB,68,3,8,27-Nov-39,Memorandum,WP (R) (39) 93,Action taken by the Dominions. Third Report submitted by the Secretary of State for Dominion Affairs.,Anthony Eden
CAB,68,3,9,Nov-39,Memorandum,WP (R) (39) 94,Economic Warfare. Eleventh Weekly Report submitted by the Minister of Economic Warfare covering the period November 19th to November 26th.,Ronald H Cross
CAB,68,3,10,27-Nov-39,Memorandum,WP (R) (39) 95,Publicity in Enemy Countries.,Halifax
CAB,68,3,11,28-Nov-39,Memorandum,WP (R) (39) 96,"Shipping. Twelfth Weekly Report covering the period ended Midnight Sunday/Monday 26th/27th November, 1939.",John Gilmour
CAB,68,3,12,28-Nov-39,Memorandum,WP (R) (39) 97,"Oil Position. Twelfth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 26th November, 1939.",Geoffrey Lloyd
CAB,68,3,13,6-Dec-39,Memorandum,WP (R) (39) 98,"Food Situation of the United Kingdom. Third Report submitted by the Minister of Food covering the period from 3rd November to 2nd December, 1939.",William Shepherd Morrison
CAB,68,3,14,30-Nov-39,Memorandum,WP (R) (39) 99,"Civil Defence Report No. 8. Eighth Report submitted by the Minister of Home Security covering the period from midnight 12th November to midnight 26th November, 1939.",John Anderson
CAB,68,3,15,6-Dec-39,Memorandum,WP (R) (39) 100,"The Colonial Empire. Fourth Monthly Report submitted by the Secretary of State for the Colonies, covering the period November 1st - 30th, 1939.",Malcolm MacDonald
CAB,68,3,16,5-Dec-39,Memorandum,WP (R) (39) 101,Propaganda: Appreciation of Action taken and its Effect. Fourth Report submitted by the Minister of Information covering the period 12th November to 26th November 1939.,Macmillan
CAB,68,3,17,4-Dec-39,Memorandum,WP (R) (39) 102,Analysis of German Propaganda.,Halifax
CAB,68,3,18,1-Dec-39,Memorandum,WP (R) (39) 103,India. Sixth Fortnightly Report submitted by the Secretary of State for India covering the Period 16th to 30th November 1939.,Zetland
CAB,68,3,19,1-Dec-39,Memorandum,WP (R) (39) 104,"Burma. Sixth Fortnightly Report submitted by the Secretary of State for Burma, covering the period 16th to 30th November 1939.",Zetland
CAB,68,3,20,4-Dec-39,Memorandum,WP (R) (39) 105,"Coal Position. Sixth Fortnightly Report submitted by the Secretary for Mines covering the period 15th to 30th November, 1939.",Geoffrey Lloyd
CAB,68,3,21,4-Dec-39,Memorandum,WP (R) (39) 106,Economic Warfare. Twelfth Weekly Report Submitted by the Minister of Economic Warfare covering the period November 26th to December 3rd.,Ronald H Cross
CAB,68,3,22,5-Dec-39,Memorandum,WP (R) (39) 107,"Shipping. Thirteenth Weekly Report covering the period ended Midnight Sunday/Monday 3rd/4th December, 1939.",John Gilmour
CAB,68,3,23,5-Dec-39,Memorandum,WP (R) (39) 108,"Oil Position. Thirteenth Weekly Report submitted by the Secretary for Mines covering the period up to midnight on the 3rd December, 1939.",Geoffrey Lloyd
CAB,68,3,24,7-Dec-39,Memorandum,WP (R) (39) 109,"Sixth Report submitted by the Minister of Labour and National Service covering the period 16th November - 30th November, 1939.",Ernest Brown
CAB,68,3,25,7-Dec-39,Memorandum,WP (R) (39) 110,Supply and Production. Civil Defence Report No. 3.,John Anderson
CAB,68,3,26,8-Dec-39,Memorandum,WP (R) (39) 111,Analysis of German Propaganda.,Halifax
CAB,68,3,27,Dec-39,Memorandum,WP (R) (39) 112,Economic Warfare. Thirteenth Weekly Report Submitted by the Minister of Economic Warfare covering the period December 3rd to December 10th.,Ronald H Cross
CAB,68,3,28,12-Dec-39,Memorandum,WP (R) (39) 113,"Shipping. Fourteenth Weekly Report covering the Period ended Midnight Sunday/Monday 10th/11th December, 1939.",John Gilmour
CAB,68,3,29,18-Dec-39,Memorandum,WP (R) (39) 114,Supply and Production. Fourth Monthly Report by the Minister of Supply covering the Month of November.,E Leslie Burgin
CAB,68,3,30,12-Dec-39,Memorandum,WP (R) (39) 115,"Oil Position. Fourteenth Weekly Report submitted by the Secretary for Mines covering the Period up to midnight on the 10th December, 1939.",Geoffrey Lloyd
CAB,68,3,31,Dec-39,Memorandum,WP (R) (39) 116,Economic Warfare. Fourth Monthly Report on the situation in Germany submitted by the Minister of Economic Warfare covering the period November 1st - November 30th.,Ronald H Cross
CAB,68,3,32,14-Dec-39,Memorandum,WP (R) (39) 117,Civil Defence Report No. 9. Ninth Report submitted by the Minister of Home Security covering the period from Midnight 26th November to Midnight 10th December 1939.,John Anderson
CAB,68,3,33,18-Dec-39,Memorandum,WP (R) (39) 118,"India and the War. Seventh Fortnightly Report submitted by the Secretary of State for India covering the period 1st to 15th December, 1939.",Zetland
CAB,68,3,34,18-Dec-39,Memorandum,WP (R) (39) 119,"Burma. Seventh Fortnightly Report submitted by the Secretary of State for Burma covering the Period 1st to 15th December, 1939.",Zetland
CAB,68,3,35,19-Dec-39,Memorandum,WP (R) (39) 120,"Coal Position. Seventh Fortnightly Report submitted by the Secretary for Mines covering the Period 1st to 14th December, 1939.",Geoffrey Lloyd
CAB,68,3,36,19-Dec-39,Memorandum,WP (R) (39) 121,"Shipping. Fifteenth Weekly Report covering the Period ended Midnight Sunday/Monday 17th/18th December, 1939.",John Gilmour
CAB,68,3,37,19-Dec-39,Memorandum,WP (R) (39) 122,"War Office Progress Report (November, 1939).",L Hore-Belisha
CAB,68,3,38,20-Dec-39,Memorandum,WP (R) (39) 123,"Seventh Report submitted by the Minister of Labour and National Service covering the period 1st December - 15th December, 1939.",Ernest Brown
CAB,68,3,39,19-Dec-39,Memorandum,WP (R) (39) 124,"Oil Position. Fifteenth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 17th December, 1939.",Geoffrey Lloyd
CAB,68,3,40,19-Dec-39,Memorandum,WP (R) (39) 125,Supply and Production. Fourth Report by the Air Ministry.,Kingsley Wood
CAB,68,3,41,Dec-39,Memorandum,WP (R) (39) 126,Economic Warfare. Fourteenth Weekly Report submitted by the Minister of Economic Warfare covering the period December 10th - 17th December.,Ronald H Cross
CAB,68,3,42,28-Dec-39,Memorandum,WP (R) (39) 127,"Shipping. Sixteenth Weekly Report covering the Period ended Midnight Sunday/Monday 24th/25th December, 1939.",John Gilmour
CAB,68,3,43,28-Dec-39,Memorandum,WP (R) (39) 128,"Oil Position. Sixteenth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 24th December, 1939.",Geoffrey Lloyd
CAB,68,4,1,16-Dec-39,Memorandum,WP (R) (40) 1,"Supply and Production. 3rd Monthly Report Submitted by the First Lord of the Admiralty covering the month of November, 1939.",Winston S Churchill
CAB,68,4,2,1-Jan-40,Memorandum,WP (R) (40) 2,Publicity in Enemy Countries.,Halifax
CAB,68,4,3,Jan-40,Memorandum,WP (R) (40) 3,Economic Warfare. Fifteenth Weekly Report submitted by the Minister of Economic Warfare covering the period 17th December 31st December.,Ronald H Cross
CAB,68,4,4,2-Jan-40,Memorandum,WP (R) (40) 4,"Coal Position. Eighth Forthnightly Report Submitted by the Secretary for Mines covering the Period 15th to 31st December, 1939.",Geoffrey Lloyd
CAB,68,4,5,2-Jan-40,Memorandum,WP (R) (40) 5,"Shipping. Seventeenth Weekly Report covering the period ended midnight Sunday/Monday, 31st December, 1939 / 1st January, 1940.",John Gilmour
CAB,68,4,6,6-Jan-40,Memorandum,WP (R) (40) 6,"The Colonial Empire. Fifth Monthly Report submitted by the Secretary of State for the Colonies, covering the period December 1st - 31st, 1939.",Malcolm MacDonald
CAB,68,4,7,2-Jan-40,Memorandum,WP (R) (40) 7,"Oil Position. Seventeenth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 31st December, 1939.",Geoffrey Lloyd
CAB,68,4,8,4-Jan-40,Memorandum,WP (R) (40) 8,Action taken by the Dominions. Fourth Report submitted by the Secretary of State for Dominion Affairs.,Anthony Eden
CAB,68,4,9,11-Jan-40,Memorandum,WP (R) (40) 9,"Food Situation of the United Kingdom. Fourth Report submitted by the Minister of Food covering the Period from 3rd December, 1939, to 2nd January, 1940.",William Shepherd Morrison
CAB,68,4,10,5-Jan-40,Memorandum,WP (R) (40) 10,India. Eighth Fortnightly Report submitted by the Secretary of State for India covering the Period 16th to 31st December 1939.,Zetland
CAB,68,4,11,5-Jan-40,Memorandum,WP (R) (40) 11,"Burma.Eighth Fortnightly Report submitted by the Secretary of State for Burma covering the Period 16th to 31st December, 1939.",Zetland
CAB,68,4,12,8-Jan-40,Memorandum,WP (R) (40) 12,"Eighth Report submitted by the Minister of Labour and National Service covering the Period 16th December - 31st December, 1939.",Ernest Brown
CAB,68,4,13,8-Jan-40,Memorandum,WP (R) (40) 13,"Analysis of German Propaganda, December 1-15, 1939.",Halifax
CAB,68,4,14,9-Jan-40,Memorandum,WP (R) (40) 14,"Supply and Production. Civil Defence Report No. 4. Report by the Minister of Home Security for December, 1939.",John Anderson
CAB,68,4,15,7-Jan-40,Memorandum,WP (R) (40) 15,Economic Warfare. Sixteenth Weekly Report submitted by the Minister of Economic Warfare covering the Period 31st December 1939 - 7th January 1940.,Ronald H Cross
CAB,68,4,16,9-Jan-40,Memorandum,WP (R) (40) 16,"Shipping. Eighteenth Weekly Report covering the Period ended Midnight Sunday/Monday, 7th/8th January, 1940.",John Gilmour
CAB,68,4,17,9-Jan-40,Memorandum,WP (R) (40) 17,"Oil Position. Eighteenth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 7th January, 1940.",Geoffrey Lloyd
CAB,68,4,18,11-Jan-40,Memorandum,WP (R) (40) 18,"Analysis of German Propaganda, December 16-31, 1939.",Halifax
CAB,68,4,19,13-Jan-40,Memorandum,WP (R) (40) 19,"Civil Defence Report No. 10. Tenth Report submitted by the Minister of Home Security covering the Period from Midnight 10th December, 1939, to Midnight 7th January, 1940.",John Anderson
CAB,68,4,20,12-Jan-40,Memorandum,WP (R) (40) 20,Publicity in Enemy Countries.,Halifax
CAB,68,4,21,15-Jan-40,Memorandum,WP (R) (40) 21,"Analysis of Shipping Employment 31st December, 1939.",John Gilmour
CAB,68,4,22,14-Jan-40,Memorandum,WP (R) (40) 22,Economic Warfare. Seventeenth Weekly Report submitted by the Minister of Economic Warfare covering the Period 7th January - 14th January 1940.,Ronald H Cross
CAB,68,4,23,15-Jan-40,Memorandum,WP (R) (40) 23,Supply and Production. Fifth Report by the Air Ministry.,Kingsley Wood
CAB,68,4,24,17-Jan-40,Memorandum,WP (R) (40) 24,Coal Position. Ninth Forthnightly Report submitted by the Secretary for Mines covering the Period 1st to 14,Geoffrey Lloyd
CAB,68,4,25,16-Jan-40,Memorandum,WP (R) (40) 25,"Oil Position. Nineteenth Weekly Report submitted by the Secretary for Mines covering the Period up to Midnight on the 14th January, 1940.",Geoffrey Lloyd
CAB,68,4,26,16-Jan-40,Memorandum,WP (R) (40) 26,"Shipping. Nineteenth Weekly Report covering the period ended Midnight Sunday/Monday, 14th/15th January, 1940.",John Gilmour
CAB,68,4,27,17-Jan-40,Memorandum,WP (R) (40) 27,"Supply and Production. Fifth Monthly Report by the Minister of Supply covering the Month of December, 1939.",E Leslie Burgin
CAB,68,4,28,18-Jan-40,Memorandum,WP (R) (40) 28,"India. Ninth Fortnightly Report submitted by the Secretary of State for India, covering the period 1st - 15th January, 1940.",Zetland
