collection,series,piece,item,Covering_date,Type,Former Reference,Agenda
CAB,195,1,26,7-Aug-42,Notebook,WM (42) 107,"3. Alexandria; 4. Statements about a Second Front; 5. India; 6. M: C. Taylor, M.P. - Proposed Visit to Middle East"
CAB,195,1,27,10-Aug-42,Notebook,WM (42) 109,Directing A.T.S. to Searchlight Duties - Part heard; Liquor Policy in W. Africa; India; Imperial Conference - War Conference; U.S. Forces; India - Gandhi;
CAB,195,1,28,12-Aug-42,Notebook,WM (42) 111,1. Provision of Aircraft for the War at Sea - Part heard; 2. Burma; 3. India
CAB,195,1,29,13-Aug-42,Notebook,WM (42) 112,1. Russian Warships and Merchant Ships in Black Sea; 2. French Fleet at Alexandria; 3. Shipping Situation; India
CAB,195,1,30,17-Aug-42,Notebook,WM (42) 113,Press Interviews by Senior Officers Abroad; Report on Women's Service; Carlton Hotel as Officers' Club for U.S. Forces; India. a)Situation - b)Assurance to Viceroy's Council - c)Gandhi's Fast - d) Whipping Ordinance
CAB,195,1,31,20-Aug-42,Notebook,WM (42) 114,1. Service Pay &amp; Allowance; 2. Participation of de Gaulle in Preparations for Operations in France; 3. Death Sentences in Belfast
CAB,195,1,32,22-Aug-42,Notebook,WM (42) 116,Middle East: Division of Command
CAB,195,1,33,24-Aug-42,Notebook,WM (42) 117,1. India; 2. Machinery of Government; 3. Parliamentary Business;  4. Foreign Affairs
CAB,195,1,34,25-Aug-42,Notebook,WM (42) 118,Foreign Affairs; Talks with Stalin; Public statement; Air Service to M/East
CAB,195,1,35,31-Aug-42,Notebook,WM (42) 119,Air Raid Damage; China; India - Gandhi starving; Disciplinary Powers of Indian Army Officers; State of Home Opinion; Re-organisation of A.F.V. Divisions of M/Supply
CAB,195,1,36,7-Sep-42,Notebook,WM (42) 121,1. The Military Situation
CAB,195,1,37,9-Sep-42,Notebook,WM (42) 122,Parliamentary Business - India Debate
CAB,195,1,38,10-Sep-42,Notebook,WM (42) 123,1. Parliament - India Debate; 2. Citrine's Visit to U.S.A. Statement at Blackpool criticising Halifax
CAB,195,1,39,14-Sep-42,Notebook,WM (42) 124,Foreign Affairs; Air Raid Damage; Supply of Transport Aircraft to Russia; Food for Ceylon;
CAB,195,1,40,5-Oct-42,Notebook,WM (42) 131,Foreign Affairs; Parliament
CAB,195,1,41,9-Oct-42,Notebook,WM (42) 137,Manacling of Prisoners of War
CAB,195,1,42,12-Oct-42,Notebook,WM (42) 139,Manacling of Prisoners of War
CAB,195,1,43,13-Oct-42,Notebook,WM (42) 140,Munitions Production; Manacling of Prisoners of War; General Smuts - Speech to Parliament; U.S. Coloured Troops in U.K.; Armistice Day
CAB,195,1,44,19-Oct-42,Notebook,WM (42) 142,Smuts Address to Parliament; Commonwealth Trade Union Conference; Man Power: Lowering Age to 18 for call-up to Services; American Technical Mission to India; Strike in Belfast;
CAB,195,1,45,26-Oct-42,Notebook,WM (42) 145,Foreign Affairs; Prisoners of War; Postumous Awards
CAB,195,1,46,27-Oct-42,Notebook,WM (42) 146,Celebration of Soviet Annual Day - Participation of B. Troops; Coal - Address to Miners
CAB,195,1,47,2-Nov-42,Notebook,WM (42) 148,Prisoners of War (part heard); Books and Magazines for the M/East
CAB,195,1,48,3-Nov-42,Notebook,WM (42) 149,1. United Nations Relief and Rehabilitation Administration; 2. Post-War Atlantic Bases; 3. Malta
CAB,195,1,49,4-Nov-42,Notebook,WM (42) 150,1.Rudolf Hess; 2. King's Speeches; 3. Malta; 4. Parliamentary Procedure
CAB,195,1,50,9-Nov-42,Notebook,WM (42) 151,Military Situation (part-heard); Foreign Affairs - King's Speech; Ringing Church Bells; Persia; Prisoners of War; Madagascar; Liability of Members of Parliament; Armistice Day; B. Nationality and status of Aliens Bill; Major Markham M.P. Visit to U.S.A.; Enemy Breaches of Rule of Warfare
CAB,195,1,51,16-Nov-42,Notebook,WM (42) 153,Foreign Affairs - Spain; Ceylon Rice Supply; Publication of Beveridge Report;
CAB,195,1,52,19-Nov-42,Notebook,WM (42) 155,1. Migration to Dominions; 2.  ; 3. Progress Rpt.; 4. Demobilisation; 5. Statement by Paymaster General; 6. Central Planning Authority
CAB,195,2,1,23-Nov-42,Notebook,WM (42) 157,1. Military Situation - N. Africa - M/East - Russia; 2. Foreign Affairs; 3. Call-up of Royal Marines
CAB,195,2,2,26-Nov-42,Notebook,WM (42) 159,Beveridge Report on Social Services
CAB,195,2,3,26-Nov-42,Notebook,WM (42) 160,1. Man Power
CAB,195,2,4,1-Dec-42,Notebook,WM (42) 163,1. Man Power; 2. Civil Defence; 3. Government Staffs
CAB,195,2,5,3-Dec-42,Notebook,WM (42) 164,1. Position of Italy; 2. Albania; 3. Prisoners of War; 4. Foreign Service
CAB,195,2,6,7-Dec-42,Notebook,WM (42) 165,Foreign Affairs; Mission of M/Production to U.S.A.; Prisoners of War
CAB,195,2,7,14-Dec-42,Notebook,WM (42) 168,1. Military Situation; 2. Foreign Affairs - Jews in Poland - Madagascar - Switzerland; 3. Admission of Jewish Children from Bulgaria to Palestine
CAB,195,2,8,17-Dec-42,Notebook,WM (42) 170,1. Building Programmes
CAB,195,2,9,21-Dec-42,Notebook,WM (42) 171,Russia; Rome - Open City; Jibuti; Appointment of B. &amp; U.S. representatives to Eisenhower's staff; Spain; Prisoners of War; Extra Territoriality in China - Kowloon; Posthumous Honours Awards; Requisitioning of Accommodation
CAB,195,2,10,23-Dec-42,Notebook,WM (42) 172,1. Invasion of U.K. - 1943; 2. Civil Administration &amp; Security in French N.W. Africa; 3. American Influence in West Africa; 4. North Africa - Report by Duncan Sandys; 5. Russian Convoys; 6. Jews; 7. Bombing of Marseilles
CAB,195,2,11,28-Dec-42,Notebook,WM (42) 173,N. Africa - de Gaulle's wishes; Chinese Treaty - Kowloon
CAB,195,2,12,30-Dec-42,Notebook,WM (42) 174,Indian States; Parliamentary Delegation to U.S.S.R.; British Prisoners of War; Agent Genl. in N. Africa
CAB,195,2,13,4-Jan-43,Notebook,WM (43) 1,"Military Situation - Libya - North Africa - Russia; Extra-territoriality in China; Bombing of Rome; Argentina; Prisoners of War; Church House, Westminster"
CAB,195,2,14,5-Jan-43,Notebook,WM (43) 2,Food Stocks for Relief
CAB,195,2,15,7-Jan-43,Notebook,WM (43) 4,1. Colonial Policy; 2. India - Gandhi's Fast; 3. N. Africa
CAB,195,2,16,11-Jan-43,Notebook,WM (43) 6,3. Civil and Passive Defence in North Africa; 4. Reception and Accomodation of Refugees; 5. Black-out: Report of Committee;
CAB,195,2,17,12-Jan-43,Notebook,WM (43) 7,Detention of Gandhi; Food situation in India
CAB,195,2,18,18-Jan-43,Notebook,WM (43) 9,Military Operations; French N. Africa (Foreign Affairs); Air Raids; Statement on the Jews; Shackling
CAB,195,2,19,25-Jan-43,Notebook,WM (43) 16,Air Raids; Reform of Foreign Service; Colonial Service; Jewish Refugees - Admission to Palestine; Prisoners of War: Shackling; Indian Commissioned Officers: Powers of Punishment; Red Army Day; Shipping
CAB,195,2,20,26-Jan-43,Notebook,WM (43) 17,1. Tank Performance - Parliamentary Questions; 2. Symbol - Communiques; 3. Prisoners of War - Shackling; 4. Catering Wages Bill
CAB,195,2,21,27-Jan-43,Notebook,WM (43) 18,1. P.M.'s Meeting with Turks; 2. Prisoners of War : Shackling; 3. Post War Economic Policy - Debate; 4. Secret Session in H/Lords; 5. Catering Wages Bill
CAB,195,2,22,1-Feb-43,Notebook,WM (43) 20,Parliamentary Business
CAB,195,2,23,8-Feb-43,Notebook,WM (43) 26,Foreign Affairs; Prisoners of War; Jamaica: Constitutional Change; Beveridge Report - Procedure; India - Treatment of Gandhi
CAB,195,2,24,10-Feb-43,Notebook,WM (43) 27,Catering Wages Bill
CAB,195,2,25,12-Feb-43,Notebook,WM (43) 28,The Beveridge Report
CAB,195,2,26,15-Feb-43,Notebook,WM (43) 29,The Beveridge Report
CAB,195,2,27,15-Feb-43,Notebook,WM (43) 30,Godfrey; A.E. Mission to U.S.; P.M.'s Aircraft; Air Attacks on Coastal Towns; Conditions Justifying Surrender to Enemy; Malta: Evacuation of Civilians; Evacuation of French Civilians from Tunisia to Marseilles; Black-out Second Report of Committee
CAB,195,2,28,17-Feb-43,Notebook,WM (43) 31,The Beveridge Report Debate
CAB,195,2,29,18-Feb-43,Notebook,WM (43) 32,1. Priorities for Research and Development; 2. Interchange of Technical Information with U.S.S.R.; 3. Airfield Construction; 4. Cereals for Indian Ocean Area.
CAB,195,2,30,22-Feb-43,Notebook,WM (43) 33,Foreign Affairs; Air Raids; Shackling of Prisoners; Italian Prisoners of War; Refugees; Beveridge Report: Circulation by A.B.C.A.
CAB,195,2,31,23-Feb-43,Notebook,WM (43) 34,1. Invasion Areas - Visitors' Ban; 2. Training for the Building Industry; 3. N. Atlantic Convoys
CAB,195,2,32,25-Feb-43,Notebook,WM (43) 35,"1. India, Home Member for G. Genl's Executive Council; 2. R.A.F. Squadrons in N. Russia; 3. Civil Air Transport"
CAB,195,2,33,1-Mar-43,Notebook,WM (43) 36,Convoys in Russia - Air Protection; Shackling; Prisoners of War – Revolt of Jap. Prisoners in N. Zealand; British Military Administration of Occupied Enemy Territory; Parliament;
CAB,195,2,34,3-Mar-43,Notebook,WM (43) 37,Mr Speaker's Possible Demise; de Gaulle;
CAB,195,2,35,8-Mar-43,Notebook,WM (43) 38,Air Protection for Russian Convoys; de Gaulle; Greek Army; Air Raids; Air Transport: Statement in Debate on Air Estimates; Formations of R.A.F. Transport Command; Election of a New Speaker
CAB,195,2,36,11-Mar-43,Notebook,WM (43) 39,1. Shipments to the Middle East
CAB,195,2,37,15-Mar-43,Notebook,WM (43) 40,Military Operations - Tunisia - Russia; Giraud and de Gaulle; Communist Party; Newfoundland; Lectures to Troops
CAB,195,2,38,16-Mar-43,Notebook,WM (43) 41,1. Portuguese East Africa; 2. Appointment of Govt. Directors to Companies on War Production
CAB,195,2,39,19-Mar-43,Notebook,WM (43) 43,1. Prime Minister's Broadcast on Re-construction
CAB,195,2,40,22-Mar-43,Notebook,WM (43) 44,Military Operations - Burma - Russia; Administration of Territories (Europe) Committee; Refugees; Shackling of Prisoners
CAB,195,2,41,25-Mar-43,Notebook,WM (43) 45,Proposed Food Conference
CAB,195,2,42,29-Mar-43,Notebook,WM (43) 46,Military Operations - Russia - Finland; U.S.S.R.; Air Raids; Visitors' Ban; Committee on Electoral Machinery; International Food Conference
CAB,195,2,43,1-Apr-43,Notebook,WM (43) 47,1. Naval Construction; 2. Gift of Destroyers to Canada; 3. Ceylon Constitution
CAB,195,2,44,5-Apr-43,Notebook,WM (43) 48,de Gaulle &amp; Giraud; Personal Injuries (Civilian) Scheme; Tube Shelter Enquiry; Church Bells; Refugees - Conference
CAB,195,2,45,6-Apr-43,Notebook,WM (43) 49,Imperial Conference; Town &amp; Country Planning (Interim Development) Bill
CAB,195,2,46,8-Apr-43,Notebook,WM (43) 50,1. Post-war Commercial Policy; 2. International Regulation of Primary Products
CAB,195,2,47,12-Apr-43,Notebook,WM (43) 52,Burma; Foreign Affairs; Tunisia; Parliamentary Questions; Shackling; Home Guard; United Nations Day; Church Bells
CAB,195,2,48,13-Apr-43,Notebook,WM (43) 53,1. Food Conference; 2. Foreign Secretary's Account of his Mission to Washington; 3. North Africa - Command of Husky
CAB,195,2,49,14-Apr-43,Notebook,WM (43) 54,1. Supplies to Turkey; 2. Naval Construction Programme; 3. Policy in Burma
CAB,195,2,50,15-Apr-43,Notebook,WM (43) 55,1. Agricultural Policy
CAB,195,2,51,19-Apr-43,Notebook,WM (43) 56,Foreign Policy; Shackling of Prisoners of War; Repatriation of Prisoners of War; Shop-stewards: Communist Propaganda; Church Bells; Proxy Marriages; Select Committee on National Expenditure
CAB,195,2,52,21-Apr-43,Notebook,WM (43) 57,1. Material Stocks &amp; Production Programmes; Shipping Situation; Bombing of Essen: Poison Gas: Home Guard; Government Building Production
CAB,195,2,53,22-Apr-43,Notebook,WM (43) 58,1. Post-war Commercial Policy; 2. U-Boat Warfare; 3. Japanese Execution of U.S. Airmen who bombed Tokio; 4. Food Conference
CAB,195,2,54,27-Apr-43,Notebook,WM (43) 59,Refugees; Reduction of A.A. Command; Anniversary of Home Guard; Airmails for H.M. Forces Overseas; Books &amp; Magazines for H.M. Forces; Credits to Enemy Countries
CAB,195,2,55,3-May-43,Notebook,WM (43) 63,Military Situation
CAB,195,2,56,4-May-43,Notebook,WM (43) 64,"1. Loss of U.S. Aircraft en route for Iceland; 2. International Regulation of Primary Products; 3. Post-war Agriculture Policy; 4. Honours; 5. Ban on Signposts etc., in Rural Areas"
CAB,195,2,57,5-May-43,Notebook,WM (43) 65,Egypt - Constitutional Crisis; General Andrew's Death
CAB,195,2,58,10-May-43,Notebook,WM (43) 67,Foreign Affairs - Poland; Film: Colonel Blimp; Refugees: Bermuda Conference; Parliament; Memorial Service to General Andrews; Thanksgiving; Church Bells; Parliament: Workmen's Compensation; H/Lords: Question about Admiral Godfrey; Russo-Polish Dispute
CAB,195,2,59,13-May-43,Notebook,WM (43) 68,Captured German Generals; Celebration of Victory in Africa
CAB,195,2,60,17-May-43,Notebook,WM (43) 69,Foreign Affairs; Thanksgiving Service; Air Raids; Resolution of Thanks for African Victory; Electoral Machinery - Report of Committee; P.M. Invitation to Visit Mexico; Refugee Debate
CAB,195,2,61,18-May-43,Notebook,WM (43) 70,Widow's Pensions; Parliamentary Secretaries; 3. Ceylon Constitution; 4. Mr Gandhi's Request to see Mr Jinnah
CAB,195,2,62,19-May-43,Notebook,WM (43) 71,1. Widows Pensions; 2. India - Gandhi's; 3. Government Building Programme
CAB,195,2,63,21-May-43,Notebook,WM (43) 74,1. Operation Lifebelt; 2. Ceylon: Constitutional Reform; 3. Godfrey
CAB,195,2,64,24-May-43,Notebook,WM (43) 76,Operation Lifebelt
CAB,195,2,65,24-May-43,Notebook,WM (43) 77,Comintern; Civil Aviation; Refugees; de Gaulle &amp; Giraud; Operation Lifeboat
CAB,195,2,66,27-May-43,Notebook,WM (43) 78,1. Capital Case - Espionage; 2. Civil Aviation; 3. de Gaulle
CAB,195,2,67,3-Jun-43,Notebook,WM (43) 80,1. Airfield Construction: Building Labour; 2. Salaries of Junior Ministers
CAB,195,2,68,5-Jun-43,Notebook,WM (43) 81,Military Situation; U-Boats; P.M.'s Mission
CAB,195,2,69,9-Jun-43,Notebook,WM (43) 83,2. Trade Disputes Act
CAB,195,2,70,15-Jun-43,Notebook,WM (43) 85,Films - Col. Blimp; Operation Loader; Air Raids; Pensions; Administration of Liberated &amp; Conquered Territories
CAB,195,2,71,21-Jun-43,Notebook,WM (43) 87,Generals Giraud and de Gaulle; Allied Govts. in London - Publication of Newspapers etc.
CAB,195,2,72,24-Jun-43,Notebook,WM (43) 88,Civil Aviation
CAB,195,2,73,1-Jul-43,Notebook,WM (43) 91,1. Food Conference; 2. Post-war Agricultural Policy; 3. Post-War Shipping; 4. Constitution of Malta; 5. General Giraud; 6. Rural Cottages
CAB,195,2,74,2-Jul-43,Notebook,WM (43) 92,1. Mr McGovern: Visit to Eire; 2. Palestine; 3. Immgration into Palestine
CAB,195,2,75,5-Jul-43,Notebook,WM (43) 93,Records of Paris Peace Conference - Publication; Committee on Women's Services; Conditions in Detention Barracks
CAB,195,2,76,7-Jul-43,Notebook,WM (43) 94,1. Enemy Leaders and War Criminals - Warning to Neutrals not to grant Asylum; 2. States of Tibet; 3. Copperbelt: Mr Maybank; 4. Sikorski - Public Funeral;  5. Union of Democratic Control
CAB,195,2,77,8-Jul-43,Notebook,WM (43) 95,1. War Pensions - Revision of Royal Warrant; 2. War Pensions - Appeals Tribunals Bill; 3. Leakage to Press
CAB,195,2,78,9-Jul-43,Notebook,WM (43) 96,1. Anti U-Boat Warfare; 2. Black-Outs; 3. Man Power
CAB,195,2,79,12-Jul-43,Notebook,WM (43) 97,Military Operations - Russia - Poland; Sikorski; Air Raids; Basic English; Parliament
CAB,195,2,80,13-Jul-43,Notebook,WM (43) 98,Educational Reconstruction; Civil Aviation; Re-distribution
CAB,195,2,81,14-Jul-43,Notebook,WM (43) 99,French Committee; British Policy in Middle East; Bombing of Rome
CAB,195,3,1,6-Mar-45,Notebook,WM (45) 26,"Arrival of Viceroy; Naval, Military &amp; Air Situation; Air Raids &amp; Casualties; Foreign Affairs; Family Allowances; Supplies for Channel Islands; Polish Govt.'s Communications with Poland; W.L.A. - Post-war Assistance Scheme"
CAB,195,3,2,8-Mar-45,Notebook,WM (45) 27,Rumania; Russia; Civil Aviation
CAB,195,3,3,12-Mar-45,Notebook,WM (45) 28,"Cabinet Meetings; Naval, Military &amp; Air situation; Naval; Air Raids and Casualities; Disclosure of Scientific Information to Foreigners; Relief through the Blockade; Third Session of the Council of U.N.R.R.A."
CAB,195,3,4,12-Mar-45,Notebook,WM (45) 29,1. Greece; 2. War Crimes; 3. Food Situation in Liberated Europe; 4. Marriage between Members of A.E.F. and Germans; 5. Labour for Cotton Industry; 6. War Gratuities: Officers of Royal Observer Corps.; 7. Forestry Bill; 8. Divorce; 9. Disclosure of Scientific Information to French; 10. Select Committee on National Expenditure: Mission to M/East
CAB,195,3,5,14-Mar-45,Notebook,WM (45) 30,Parliament - Remarks of M. Stokes M.P.; U.K. Stock Levels; Warning to Germany; W.L.A. Gratuities
CAB,195,3,6,15-Mar-45,Notebook,WM (45) 31,Food Supplies; Housing; Food Supplies; Parliament; Civil Service - Entry
CAB,195,3,7,19-Mar-45,Notebook,WM (45) 32,"Naval, Military and Air Situation; Naval; Military; Air Raids and Casualties; Relief for Occupied Holland"
CAB,195,3,8,19-Mar-45,Notebook,WM (45) 33,Poland; Peace-Seekers - Italian Front; Anglo-French Financial Agreement; Finance of Relief; San Francisco: Trade Union Representation; British Delegation; Foreign Service: Admission of Women; Statutory Orders (Special Procedure) Bill
CAB,195,3,9,21-Mar-45,Notebook,WM (45) 34,1. Commercial Policy: Reply to Canadian Govt.; Food - U.K. Stocks; 3. Food: Directive for Ministerial Mission to Washington
CAB,195,3,10,22-Mar-45,Notebook,WM (45) 35,"Poland: Publication of Anglo-Polish Secret Protocol, 1939; Italy: Claims against Germany; Reparations and Dismemberment; Local Government (Boundary Commission) Bill"
CAB,195,3,11,26-Mar-45,Notebook,WM (45) 36,"1. Naval, Military &amp; Air Situation; 2. Air Raids &amp; Casualties; 3. Affairs in Cobber-Belt. Case of Mr. Maybank; 4. Release of Staff of Electoral Registration Officers"
CAB,195,3,12,28-Mar-45,Notebook,WM (45) 37,1. Channel Islands: Proposed Warning to German Commander; 2. Asylum for Refugees; 3. Double Taxation - Agreement with U.S.A.; 4. Trade Union Representation at San Francisco; 5. Poland; 6. Poland - Naturalisation &amp; Settlement
CAB,195,3,13,3-Apr-45,Notebook,WM (45) 38,Post-war Trade: Views of Mr Baruch; World Organisation; International Aspects of Colonial Policy; World Organisation (a) Non-Permanent Membership of Security Council (b) Obligations of States not represented on Council; World Organisation: Outstanding Points; Relationship of I.L.O. to new World Organisation
CAB,195,3,14,3-Apr-45,Notebook,WM (45) 39,"Review of World Situation; Naval, Military &amp; Air Situation; Air Raids &amp; Casualties; Preliminary War Histories"
CAB,195,3,15,5-Apr-45,Notebook,WM (45) 40,Crossword - Communication from Stalin
CAB,195,3,16,9-Apr-45,Notebook,WM (45) 41,"1. Naval, Military &amp; Air Operations; 2. Presentation of British Share in the War; 3/4. Foreign Affairs a) Poland b) World Organisation; 5. Situation in Holland; 6. Celebration of End Hostilities in Europe; 7. High Treason: Procedure for Trial"
CAB,195,3,17,12-Apr-45,Notebook,WM (45) 42,Coal: Man Power &amp; Prices; Man Power Allocations for First Half of 1945; Double Taxation; International Aspects of Colonial Policy; Harry Pollitt. Exit Permit
CAB,195,3,18,12-Apr-45,Notebook,WM (45) 43,1. British Prisoners of War; 2. War Criminals
CAB,195,3,19,13-Apr-45,Notebook,WM (45) 44,Death of President Roosevelt
CAB,195,3,20,16-Apr-45,Notebook,WM (45) 45,"Naval, Military &amp; Air Situation; Air Raids. Casualties from Flying Bombs &amp; Rockets; President Roosevelt Memorial Service; Foreign Service - Poland"
CAB,195,3,21,16-Apr-45,Notebook,WM (45) 46,1. Migration; 2. Harry Pollitt - Proposed Visit to Finland; 3. President Roosevelt: Memorial Service; 4. Organisation for Military Government in Germany; 5. Occupied Holland - attitude of Germans; 6. Empire Telecommunications
CAB,195,3,22,20-Apr-45,Notebook,WM (45) 47,1. The Budget; 2. Electoral (Miscellaneous Provisions) Bill; 3. Release of Candidates from H.M. Forces; 4. Release of Staff for Regn Officers &amp; Returning Officers; 5. Paper for General Election
CAB,195,3,23,20-Apr-45,Notebook,WM (45) 48,"1. Building Labour Allocations; 2. Coal: Release of Miners from H.M. Forces; 3. Housing: Temporary Houses in Open Spaces; 4. Pork, Bacon and Eggs; 5. Control of Employment (Civil Servants) Order; 6. Transfer of Warships to Canada &amp; Australia; 7. Compulsory Military Service; 8. Polish National Day"
CAB,195,3,24,23-Apr-45,Notebook,WM (45) 49,"1. Naval, Military &amp; Air Operations; 3. Housing - Bulk Orders &amp; Production Agreements; 4. Supply of Equipment to Spain; 5. Policy towards Siam; 6. Future of Tangier; 7. Andrew Rothstein: War Correspondent; Ministers' Correspondence: Franking for Postage"
CAB,195,3,25,24-Apr-45,Notebook,WM (45) 50,Poland
CAB,195,3,26,25-Apr-45,Notebook,WM (45) 51,1. Standing down of Civil Defence Services; 2. Legal Basis of Economic Control in Transition Period
CAB,195,3,27,26-Apr-45,Notebook,WM (45) 52,Stockholm Telegram
CAB,195,3,28,27-Apr-45,Notebook,WM (45) 53,Stockholm Message; Zones of Occupation; France; Poland; Crossword; V. Day Celebrations
CAB,195,3,29,27-Apr-45,Notebook,WM (45) 54,T.U.C. Representation at San Francisco
CAB,195,3,30,30-Apr-45,Notebook,WM (45) 55,"1. Naval, Military &amp; Air Operations; 2. Civil Defence: Disbandment; 3. Pay of Nursing Officers; 4. State Opening of Parliament; 5. Ceremonial Declaration of Peace; 6. Travel to Belgium by M.P.'s"
CAB,195,3,31,3-May-45,Notebook,WM (45) 57,1. Lebanon
CAB,195,3,32,4-May-45,Notebook,WM (45) 58,1. Registration of Building Workers; 2. Legal Basis of Economic Control in Transition; 3. Lebanon; 4. Denmark; 5. Burma; 6. Electoral Reform; 7. General Election: Paper; 8. General Election: Service Voters: Burma; 9. V. Day: Celebrations
CAB,195,3,33,7-May-45,Notebook,WM (45) 59,Victory in Europe: Celebrations
CAB,195,3,34,13-May-45,Notebook,WM (45) 60,Venezia Giulia; Germany - Military Government; Laval; Demobilisation
CAB,195,3,35,14-May-45,Notebook,WM (45) 61,"1. Naval, Military &amp; Air Operations; 2. Conference of U.N.N.R.A. Council; 3. Germany - Civil Government; 4. International Aspects of Colonial Policy; 5. Food: World Supply Situation; 6. Trawlers"
CAB,195,3,36,18-May-45,Notebook,WM (45) 62,1. Venezia Giulia; 2. Laval; 3. German Prisoners of War; 4. Shipping: Indian Grain Requirements; 5. Control of Engagement Order; 6. National Insurance (Industrial Injuries) Bill
CAB,195,3,37,30-May-45,Notebook,CM (45) 1,1. India: Constitutional Position; 2. India: Industrialisation &amp; Commercial Discrimination; 3. Chairmen of Committees: Resignation of Major Milner; 4. War Crimes; 5. Economic Policy; 6. Relief Supplies for Prisoners of War &amp; Civilian Internees in Far East; 7. Lancashire Wakes: Effect on Voting at Election; 8. Empire Telecommunications Conference; 9. Legislative Programme
CAB,195,3,38,30-May-45,Notebook,CM (45) 2,1. Syria &amp; Lebanon; 2. India - Constitutional Problem
CAB,195,3,39,31-May-45,Notebook,CM (45) 3,1. India: Constitutional Problem; 2. Syria and the Lebanon
CAB,195,3,40,31-May-45,Notebook,CM (45) 4,1. Syria; 2. India
CAB,195,3,41,5-Jun-45,Notebook,CM (45) 5,"1. Naval, Military &amp; Air Operations;  2. Arabia: Masirah Island; 3. Shipping for Fleet Train; 4. Prestwick Airport; 5. Exit Permits for Members of Parliament; 6. Polling in Certain Constituencies; 7. Political Activities of Members of H.M. Forces"
