collection,series,piece,item,Covering_date,Type,Former Reference,Title,Author,,
CAB,129,2,23,17-Sep-45,Memorandum,CP (45) 173,Television.,Herbert Morrison,,
CAB,129,2,24,17-Sep-45,Memorandum,CP (45) 174,Middle East Policy.,Ernest Bevin,,
CAB,129,2,25,18-Sep-45,Memorandum,CP (45) 175,Army Releases and Manpower in 1946.,Nathan,,
CAB,129,2,26,18-Sep-45,Memorandum,CP (45) 176,"R.A.F. Man-Power - June 1945 to 30th June, 1946.",Stansgate,,
CAB,129,2,27,20-Sep-45,Memorandum,CP (45) 177,The Future of the Ministry of Supply.,Nathan,,
CAB,129,2,28,18-Sep-45,Memorandum,CP (45) 178,The Functions of the Ministry of Supply and of Aircraft Production.,Clement R Attlee,,
CAB,129,2,29,18-Sep-45,Memorandum,CP (45) 179,Political Affairs in South Africa.,Addison,,
CAB,129,2,30,19-Sep-45,Memorandum,CP (45) 180,Article VII of the Mutual Aid Agreement: Commercial Policy.,Ben Smith,,
CAB,129,2,31,18-Sep-45,Memorandum,CP (45) 181,Organisation of Government Supply.,Stansgate,,
CAB,129,2,32,19-Sep-45,Memorandum,CP (45) 182,The Dodecanese.,Ernest Bevin,,
CAB,129,2,33,20-Sep-45,Memorandum,CP (45) 183,Selling Price of Houses.,Aneurin Bevan,,
CAB,129,2,34,20-Sep-45,Memorandum,CP (45) 184,Ministerial Responsibilities for Housing.,Clement R Attlee,,
CAB,129,2,35,20-Sep-45,Memorandum,CP (45) 185,Production and Distribution of Building Materials and Components.,Clement R Attlee,,
CAB,129,2,36,20-Sep-45,Memorandum,CP (45) 186,Release of Doctors from the Armed Forces.,Clement R Attlee,,
CAB,129,2,37,21-Sep-45,Memorandum,CP (45) 187,Man-Power in the Civil Service.,Clement R Attlee,,
CAB,129,2,38,22-Sep-45,Memorandum,CP (45) 188,Demobilisation.,E E Bridges,,
CAB,129,2,39,25-Sep-45,Memorandum,CP (45) 189,The Italian Colonies and British Interests in the Mediterranean-Red Sea Route.,Addison,,
CAB,129,2,40,26-Sep-45,Memorandum,CP (45) 190,Employment of Members and Ex-Members of Police Forces on Police Work Abroad.,Ernest Bevin,,
CAB,129,2,41,27-Sep-45,Memorandum,CP (45) 191,Releases from the Forces and Supply Department Work.,Ernest Bevin,,
CAB,129,2,42,25-Sep-45,Memorandum,CP (45) 192,Justices of the Peace.,Jowitt,,
CAB,129,2,43,27-Sep-45,Memorandum,CP (45) 193,Man-Power Requirements for Agriculture and Fisheries in 1946.,Tom Williams,,
CAB,129,2,44,26-Sep-45,Memorandum,CP (45) 194,Anglo-American Oil Agreement.,Emanuel Shinwell,,
CAB,129,2,45,26-Sep-45,Memorandum,CP (45) 195,Secret Sessions of Parliament.,Herbert Morrison,,
CAB,129,2,46,28-Sep-45,Memorandum,CP (45) 196,Palestine.,George H Hall,,
CAB,129,2,47,28-Sep-45,Memorandum,CP (45) 197,Future of the Ministry of Supply.,Chiefs of Staff,,
CAB,129,2,48,27-Sep-45,Memorandum,CP (45) 198,Migration.,Addison,,
CAB,129,2,49,4-Oct-45,Memorandum,CP (45) 199,Policy in regard to Malaya.,George H Hall,,
CAB,129,2,50,1-Oct-45,Memorandum,CP (45) 200,Palestine - Move of Reinforcements.,Chiefs of Staff,,
CAB,129,3,1,1-Oct-45,Memorandum,CP (45) 201,Expiry of the Emergency Powers (Defence) Acts.,James Chuter Ede,,
CAB,129,3,2,4-Oct-45,Memorandum,CP (45) 202,Council of Foreign Ministers.,Ernest Bevin,,
CAB,129,3,3,4-Oct-45,Memorandum,CP (45) 203,Municipal Elections.,Clement R Attlee,,
CAB,129,3,4,4-Oct-45,Memorandum,CP (45) 204,Parliamentary Private Secretaries.,E E Bridges,,
CAB,129,3,5,5-Oct-45,Memorandum,CP (45) 205,National Health Service. The Future of the Hospital Services.,Aneurin Bevan,,
CAB,129,3,6,5-Oct-45,Memorandum,CP (45) 206,Syria and Lebanon.,Ernest Bevin,,
CAB,129,3,7,5-Oct-45,Memorandum,CP (45) 207,National Hospital Service.,George Buchanan,,
CAB,129,3,8,6-Oct-45,Memorandum,CP (45) 208,Housing.,Aneurin Bevan,,
CAB,129,3,9,6-Oct-45,Memorandum,CP (45) 209,Billeting of German Prisoners on Farms.,George A Isaacs,,
CAB,129,3,10,6-Oct-45,Memorandum,CP (45) 210,National Insurance (Industrial Injuries) Bill.,Arthur Greenwood,,
CAB,129,3,11,6-Oct-45,Memorandum,CP (45) 211,Developments in Burma.,Pethick-Lawrence,,
CAB,129,3,12,6-Oct-45,Memorandum,CP (45) 212,"International Labour Conference, Paris, October 1945.",George A Isaacs,,
CAB,129,3,13,6-Oct-45,Memorandum,CP (45) 213,Netherlands East Indies and Indo-China.,Ernest Bevin,,
CAB,129,3,14,8-Oct-45,Memorandum,CP (45) 214,Political Broadcasting.,Arthur Greenwood,,
CAB,129,3,15,9-Oct-45,Memorandum,CP (45) 215,Land Use by the Service Departments in relation to Town and Country Planning.,Lewis Silkin,,
CAB,129,3,16,10-Oct-45,Memorandum,CP (45) 216,Palestine.,Herbert Morrison,,
CAB,129,3,17,11-Oct-45,Memorandum,CP (45) 217,Future of Electricity and Gas Industries.,Emanuel Shinwell,,
CAB,129,3,18,11-Oct-45,Memorandum,CP (45) 218,Anglo-Soviet Relations.,Ernest Bevin,,
CAB,129,3,19,8-Oct-45,Memorandum,CP (45) 219,"Return to Germany of ""White"" Prisoners of War from United Kingdom.",Ernest Bevin,,
CAB,129,3,20,11-Oct-45,Memorandum,CP (45) 220,Supply of Equipment to Spain.,Ernest Bevin,,
CAB,129,3,21,11-Oct-45,Memorandum,CP (45) 221,Civil Aviation Policy.,Addison,,
CAB,129,3,22,12-Oct-45,Memorandum,CP (45) 222,Civil Aviation Policy.,Winster,,
CAB,129,3,23,12-Oct-45,Memorandum,CP (45) 223,Statistical Reports.,Clement R Attlee,,
CAB,129,3,24,13-Oct-45,Memorandum,CP (45) 224,Housing.,Aneurin Bevan,,
CAB,129,3,25,13-Oct-45,Memorandum,CP (45) 225,Labour Shortages in Building Material and Component Industries.,"Aneurin Bevan, George Buchanan",,
CAB,129,3,26,13-Oct-45,Memorandum,CP (45) 226,Temporary Housing.,George Tomlinson,,
CAB,129,3,27,12-Oct-45,Memorandum,CP (45) 227,National Health Service. The Future of the Hospital Services.,Herbert Morrison,,
CAB,129,3,28,13-Oct-45,Memorandum,CP (45) 228,The Employment Situation.,George A Isaacs,,
CAB,129,3,29,15-Oct-45,Memorandum,CP (45) 229,Statement of Housing Progress.,Aneurin Bevan,,
CAB,129,3,30,15-Oct-45,Memorandum,CP (45) 230,Labour Shortages in Building Material and Component Industries.,George A Isaacs,,
CAB,129,3,31,16-Oct-45,Memorandum,CP (45) 231,National Health Service. The Hospital Services.,Aneurin Bevan,,
CAB,129,3,32,17-Oct-45,Memorandum,CP (45) 232,Civil Aviation Policy.,Tom Fraser,,
CAB,129,3,33,16-Oct-45,Memorandum,CP (45) 233,Defence Against Disease.,Philip J Noel-Baker,,
CAB,129,3,34,18-Oct-45,Memorandum,CP (45) 234,Newfoundland.,Addison,,
CAB,129,3,35,18-Oct-45,Memorandum,CP (45) 235,Surrender of Requisitioned Accomodation in London.,George Tomlinson,,
CAB,129,3,36,20-Oct-45,Memorandum,CP (45) 236,Government Controls and Food Policy.,Ben Smith,,
CAB,129,3,37,22-Oct-45,Memorandum,CP (45) 237,Food for Europe.,Ben Smith,,
CAB,129,3,38,20-Oct-45,Memorandum,CP (45) 238,International Labour Conference.,George A Isaacs,,
CAB,129,3,39,20-Oct-45,Memorandum,CP (45) 239,The Coal Position in the Coming Winter.,Emanuel Shinwell,,
CAB,129,3,40,20-Oct-45,Memorandum,CP (45) 240,Repatriation of Germans to Germany from the Union of South Africa and the Mandated Territory of South-West Africa.,Addison,,
CAB,129,3,41,22-Oct-45,Memorandum,CP (45) 241,Wheat Supplies for Germany and Austria.,Ben Smith,,
CAB,129,3,42,26-Oct-45,Memorandum,CP (45) 242,Attitude of Government Departments towards Organisations materially influenced or controlled by a Political Party.,James Chuter Ede,,
CAB,129,3,43,22-Oct-45,Memorandum,CP (45) 243,Victory Celebrations.,James Chuter Ede,,
CAB,129,3,44,23-Oct-45,Memorandum,CP (45) 244,Ceylon Constitution.,Arthur Greenwood,,
CAB,129,3,45,24-Oct-45,Memorandum,CP (45) 245,Civil Aviation Committee. Civil Aviation Policy.,Addison,,
CAB,129,3,46,24-Oct-45,Memorandum,CP (45) 246,Future Organisation of Civil Defence.,James Chuter Ede,,
CAB,129,3,47,25-Oct-45,Memorandum,CP (45) 247,Migration.,Addison,,
CAB,129,3,48,25-Oct-45,Memorandum,CP (45) 248,Docks Strike.,Alfred Barnes,,
CAB,129,3,49,26-Oct-45,Memorandum,CP (45) 249,Public Statements by Ministers.,Clement R Attlee,,
CAB,129,3,50,26-Oct-45,Memorandum,CP (45) 250,Oral Questions.,Clement R Attlee,,
CAB,129,4,1,26-Oct-45,Memorandum,CP (45) 251,The Dodecanese.,Ernest Bevin,,
CAB,129,4,2,26-Oct-45,Memorandum,CP (45) 252,Industrial Emergencies Committee.,E E Bridges,,
CAB,129,4,3,26-Oct-45,Memorandum,CP (45) 253,Parliamentary Procedure. First Report from the Select Committee on Procedure.,Herbert Morrison,,
CAB,129,4,4,27-Oct-45,Memorandum,CP (45) 254,Wheat Supplies for Germany and Austria,Ben Smith,,
CAB,129,4,5,26-Oct-45,Memorandum,CP (45) 255,Naturalisation Policy.,James Chuter Ede,,
CAB,129,4,6,29-Oct-45,Memorandum,CP (45) 256,"Report for the Month of September 1945 for the Dominions, India, Burma and the Colonies and Mandated Territories.","Secretary of State for Dominion Affairs, Secretary of State for India and Burma, Secretary of State for the Colonies",,
CAB,129,4,7,27-Oct-45,Memorandum,CP (45) 257,Commonwealth Telecommunications Services.,Hugh Dalton,,
CAB,129,4,8,29-Oct-45,Memorandum,CP (45) 258,Political Situation in Burma.,Pethick-Lawrence,,
CAB,129,4,9,29-Oct-45,Memorandum,CP (45) 259,Site of United Nations Organisation.,Ernest Bevin,,
CAB,129,4,10,30-Oct-45,Memorandum,CP (45) 260,Labour Controls.,Herbert Morrison,,
CAB,129,4,11,30-Oct-45,Memorandum,CP (45) 261,United States request for Bases in Iceland.,Ernest Bevin,,
CAB,129,4,12,29-Oct-45,Memorandum,CP (45) 262,Captured German documents throwing light on German-Soviet relations April 1939-November 1940.,Ernest Bevin,,
CAB,129,4,13,30-Oct-45,Memorandum,CP (45) 263,Admission to the United Kingdom of Distressed Persons whose Relatives in this Country are able and willing to maintain them.,James Chuter Ede,,
CAB,129,4,14,7-Nov-45,Memorandum,CP (45) 264,Committee on Reform of Legal Procedure.,E E Bridges,,
CAB,129,4,15,2-Nov-45,Memorandum,CP (45) 265,Italian Prisoners of War.,Ernest Bevin,,
CAB,129,4,16,3-Nov-45,Memorandum,CP (45) 266,Greece.,Ernest Bevin,,
CAB,129,4,17,5-Nov-45,Memorandum,CP (45) 267,Releases of Doctors from the Armed Forces.,"James Chuter Ede, Hartley Shawcross",,
CAB,129,4,18,5-Nov-45,Memorandum,CP (45) 268,Sarawak.,George H Hall,,
CAB,129,4,19,6-Nov-45,Memorandum,CP (45) 269,Commercial Policy.,Richard Stafford Cripps,,
CAB,129,4,20,6-Nov-45,Memorandum,CP (45) 270,Washington Financial Talks.,Hugh Dalton,,
CAB,129,4,21,7-Nov-45,Memorandum,CP (45) 271,The Place of the Department of Overseas Trade in the Machinery of Government.,"Ernest Bevin, Richard Stafford Cripps",,
CAB,129,4,22,5-Nov-45,Memorandum,CP (45) 272,International Control of Atomic Energy.,Clement R Attlee,,
CAB,129,4,23,8-Nov-45,Memorandum,CP (45) 273,Agricultural Policy.,"Tom Williams, Joseph Westwood, James Chuter Ede",,
CAB,129,4,24,8-Nov-45,Memorandum,CP (45) 274,"Progress Report on Housing, October 1945.",Aneurin Bevan,,
CAB,129,4,25,9-Nov-45,Memorandum,CP (45) 275,Town and Country Planning Legislation.,Herbert Morrison,,
CAB,129,4,26,8-Nov-45,Memorandum,CP (45) 276,Effects of the Dock Strike.,Alfred Barnes,,
CAB,129,4,27,12-Nov-45,Memorandum,CP (45) 277,Public Announcement about Nationalisation Proposals.,Herbert Morrison,,
CAB,129,4,28,9-Nov-45,Memorandum,CP (45) 278,Town and Country Planning Legislation.,Hugh Dalton,,
CAB,129,4,29,9-Nov-45,Memorandum,CP (45) 279,Committee on Victory Celebrations.,E E Bridges,,
CAB,129,4,30,13-Nov-45,Memorandum,CP (45) 280,Ceylon Constitution.,George H Hall,,
CAB,129,4,31,14-Nov-45,Memorandum,CP (45) 281,The Indian Situation.,Pethick-Lawrence,,
CAB,129,4,32,9-Nov-45,Memorandum,CP (45) 282,Secrecy of Cabinet Proceedings.,Clement R Attlee,,
CAB,129,4,33,15-Nov-45,Memorandum,CP (45) 283,Status of Spanish Nationals in the United Kingdom who were Overrun by Allied Forces in France.,Jack J Lawson,,
CAB,129,4,34,14-Nov-45,Memorandum,CP (45) 284,Tourist Traffic to Great Britain from the United States.,Ernest Bevin,,
CAB,129,4,35,15-Nov-45,Memorandum,CP (45) 285,Release of Doctors from the Forces.,Herbert Morrison,,
CAB,129,4,36,15-Nov-45,Memorandum,CP (45) 286,Atomic Energy.,Herbert Morrison,,
CAB,129,4,37,16-Nov-45,Memorandum,CP (45) 287,Canadian Citizenship Bill.,James Chuter Ede,,
CAB,129,4,38,16-Nov-45,Memorandum,CP (45) 288,Labour Controls.,George A Isaacs,,
CAB,129,4,39,20-Nov-45,Memorandum,CP (45) 289,Investment (Control and Guarantees) Bill.,Hugh Dalton,,
CAB,129,4,40,17-Nov-45,Memorandum,CP (45) 290,Return of Volunteers from the Polish Armed Forces to Poland.,Ernest Bevin,,
CAB,129,4,41,22-Nov-45,Memorandum,CP (45) 291,"New Construction (Revised) Programme, 1945.",A V Alexander,,
CAB,129,4,42,21-Nov-45,Memorandum,CP (45) 292,Newfoundland.,Addison,,
CAB,129,4,43,20-Nov-45,Memorandum,CP (45) 293,Broadcasting Policy.,"Herbert Morrison, Edward J Williams, Listowel, Philip J Noel-Baker",,
CAB,129,4,44,21-Nov-45,Memorandum,CP (45) 294,Palestine Renegades.,George H Hall,,
CAB,129,4,45,22-Nov-45,Memorandum,CP (45) 295,Commercial Policy.,Addison,,
CAB,129,4,46,22-Nov-45,Memorandum,CP (45) 296,The Indian Situation.,Pethick-Lawrence,,
CAB,129,4,47,24-Nov-45,Memorandum,CP (45) 297,Commercial Policy.,Richard Stafford Cripps,,
CAB,129,4,48,23-Nov-45,Memorandum,CP (45) 298,National Health Service. Sale and Purchase of Medical Practices.,Aneurin Bevan,,
CAB,129,4,49,23-Nov-45,Memorandum,CP (45) 299,Shipping Policy.,Alfred Barnes,,
CAB,129,4,50,26-Nov-45,Memorandum,CP (45) 300,Report by the Social Services Committee on Changes in War Pensions.,Arthur Greenwood,,
CAB,129,5,1,24-Nov-45,Memorandum,CP (45) 301,Indian Situation.,Pethick-Lawrence,,
CAB,129,5,2,24-Nov-45,Memorandum,CP (45) 302,Food Supplies for Germany.,Herbert Morrison,,
CAB,129,5,3,26-Nov-45,Memorandum,CP (45) 303,Indian Situation.,Pethick-Lawrence,,
CAB,129,5,4,26-Nov-45,Memorandum,CP (45) 304,Co-ordination of Middle East Policy in London.,E E Bridges,,
CAB,129,5,5,26-Nov-45,Memorandum,CP (45) 305,The Employment of German and Italian Prisoners of War in Great Britain.,George A Isaacs,,
CAB,129,5,6,4-Dec-45,Memorandum,CP (45) 306,Cabinet and Committee Procedure.,Clement R Attlee,,
CAB,129,5,7,27-Nov-45,Memorandum,CP (45) 307,"The United Nations Educational, Scientific and Cultural Organisation Conference.",Ellen Wilkinson,,
CAB,129,5,8,27-Nov-45,Memorandum,CP (45) 308,Inter-Territorial Organisation in East Africa.,George H Hall,,
CAB,129,5,9,28-Nov-45,Memorandum,CP (45) 309,Tourist Accommodation Committee.,E E Bridges,,
CAB,129,5,10,29-Nov-45,Memorandum,CP (45) 310,Press Articles and Interviews by Ministers.,Clement R Attlee,,
CAB,129,5,11,28-Nov-45,Memorandum,CP (45) 311,Report by the Man-Power Committee on Releases from the Forces.,Ernest Bevin,,
CAB,129,5,12,28-Nov-45,Memorandum,CP (45) 312,Washington Financial Talks.,Hugh Dalton,,
CAB,129,5,13,28-Nov-45,Memorandum,CP (45) 313,Situation in India.,Richard Stafford Cripps,,
CAB,129,5,14,29-Nov-45,Memorandum,CP (45) 314,Labour Controls.,"Ernest Bevin, George A Isaacs",,
CAB,129,5,15,1-Dec-45,Memorandum,CP (45) 315,Report by the Social Services Committee on the National Insurance Scheme.,Arthur Greenwood,,
CAB,129,5,16,30-Nov-45,Memorandum,CP (45) 316,Government Publicity Services.,Clement R Attlee,,
CAB,129,5,17,30-Nov-45,Memorandum,CP (45) 317,Call-Up of Men from the Building and Building Materials Industries.,George Buchanan,,
CAB,129,5,18,4-Dec-45,Memorandum,CP (45) 318,"Report for the Month of October 1945 for the Dominions, India, Burma and the Colonies and Mandated Territories.","Secretary of State for Dominion Affairs, Secretary of State for India and Burma, Secretary of State for the Colonies",,
CAB,129,5,19,30-Nov-45,Memorandum,CP (45) 319,Bretton Woods Agreements Bill.,Hugh Dalton,,
CAB,129,5,20,30-Nov-45,Memorandum,CP (45) 320,Releases from the Forces.,Aneurin Bevan,,
CAB,129,5,21,1-Dec-45,Memorandum,CP (45) 321,Releases from the Forces.,George Tomlinson,,
CAB,129,5,22,2-Dec-45,Memorandum,CP (45) 322,Publicity Arrangements for the Washington Talks.,Norman Brook,,
CAB,129,5,23,5-Dec-45,Memorandum,CP (45) 323,National Insurance Scheme.,Hugh Dalton,,
CAB,129,5,24,4-Dec-45,Memorandum,CP (45) 324,Shipping Policy.,Alfred Barnes,,
CAB,129,5,25,4-Dec-45,Memorandum,CP (45) 325,Shipping Policy.,A V Alexander,,
CAB,129,5,26,3-Dec-45,Memorandum,CP (45) 326,Report by the Social Services Committee on Changes in War Pensions.,Hugh Dalton,,
CAB,129,5,27,4-Dec-45,Memorandum,CP (45) 327,"Summary of Naval Air Operations since 1st August, 1945.",A V Alexander,,
CAB,129,5,28,4-Dec-45,Memorandum,CP (45) 328,Motions of Gratitude to War Leaders.,Herbert Morrison,,
CAB,129,5,29,8-Dec-45,Memorandum,CP (45) 329,Bill for the Nationalisation of Coalmining Industry.,Emanuel Shinwell,,
CAB,129,5,30,6-Dec-45,Memorandum,CP (45) 330,Progress Report on Housing: November 1945.,Aneurin Bevan,,
